2024-25,q/quickjo01,10/17/2024,NYR,@,DET,W,2,31,29,0.935,0,59.21666666666667
2024-25,q/quickjo01,10/26/2024,NYR,,ANA,W,1,33,32,0.97,0,60
2024-25,q/quickjo01,11/7/2024,NYR,,BUF,,1,10,9,0.9,0,25.95
2024-25,q/quickjo01,11/9/2024,NYR,@,DET,W,0,37,37,1,1,60
2024-25,q/quickjo01,11/17/2024,NYR,@,SEA,W,0,24,24,1,1,60
2024-25,q/quickjo01,11/23/2024,NYR,@,EDM,L,6,40,34,0.85,0,59.11666666666667
2024-25,q/quickjo01,11/30/2024,NYR,,MTL,W,3,28,25,0.893,0,60
2024-25,p/peretya01,11/30/2024,CAR,@,FLA,,1,7,6,0.857,0,8.2
2024-25,s/sarosju01,10/12/2024,NSH,@,DET,L,2,21,19,0.905,0,57.35
2024-25,s/sarosju01,10/15/2024,NSH,,SEA,L,6,34,28,0.824,0,57.083333333333336
2024-25,s/sarosju01,10/17/2024,NSH,,EDM,L,3,35,32,0.914,0,57.983333333333334
2024-25,s/sarosju01,10/19/2024,NSH,,DET,L,3,22,19,0.864,0,58.5
2024-25,s/sarosju01,10/22/2024,NSH,,BOS,W,0,33,33,1,1,59.93333333333333
2024-25,s/sarosju01,10/25/2024,NSH,@,CHI,W,2,29,27,0.931,0,59.96666666666667
2024-25,s/sarosju01,10/28/2024,NSH,@,TBL,O,3,27,24,0.889,0,63.36666666666667
2024-25,s/sarosju01,10/31/2024,NSH,,EDM,L,5,29,24,0.828,0,59.93333333333333
2024-25,s/sarosju01,11/2/2024,NSH,,COL,W,2,31,29,0.935,0,60
2024-25,s/sarosju01,11/4/2024,NSH,,LAK,L,2,26,24,0.923,0,58.95
2024-25,s/sarosju01,11/6/2024,NSH,@,WSH,L,3,36,33,0.917,0,58.5
2024-25,s/sarosju01,11/9/2024,NSH,,UTA,W,0,27,27,1,1,59.8
2024-25,s/sarosju01,11/11/2024,NSH,@,COL,O,3,32,29,0.906,0,62.733333333333334
2024-25,s/sarosju01,11/15/2024,NSH,@,CGY,L,1,32,31,0.969,0,59.13333333333333
2024-25,s/sarosju01,11/17/2024,NSH,@,VAN,W,3,27,24,0.889,0,60
2024-25,s/sarosju01,11/20/2024,NSH,@,SEA,L,2,36,34,0.944,0,58.583333333333336
2024-25,s/sarosju01,11/23/2024,NSH,,WPG,W,1,24,23,0.958,0,60
2024-25,s/sarosju01,11/25/2024,NSH,@,NJD,L,4,30,26,0.867,0,39.88333333333333
2024-25,s/sarosju01,11/27/2024,NSH,,PHI,O,3,23,20,0.87,0,62.516666666666666
2024-25,s/sarosju01,11/29/2024,NSH,,TBL,O,3,28,25,0.893,0,61.016666666666666
2024-25,s/sarosju01,Date,Tm,,Opp,DEC,GA,SA,SV,SV%,SO,
2024-25,s/sarosju01,11/30/2024,NSH,@,MIN,O,3,28,25,0.893,0,60.766666666666666
2024-25,g/georgal01,10/9/2024,COL,@,VEG,L,5,16,11,0.688,0,40
2024-25,g/georgal01,10/12/2024,COL,,CBJ,,3,9,6,0.667,0,21.933333333333334
2024-25,g/georgal01,10/14/2024,COL,,NYI,L,5,36,31,0.861,0,56.63333333333333
2024-25,g/georgal01,10/16/2024,COL,,BOS,L,4,25,21,0.84,0,57.71666666666667
2024-25,g/georgal01,10/18/2024,COL,,ANA,W,3,19,16,0.842,0,64.31666666666666
2024-25,g/georgal01,10/28/2024,COL,,CHI,L,3,24,21,0.875,0,58.11666666666667
2024-25,g/georgal01,11/7/2024,COL,@,WPG,L,1,28,27,0.964,0,57.15
2024-25,g/georgal01,11/9/2024,COL,,CAR,W,4,31,27,0.871,0,60
2024-25,g/georgal01,11/11/2024,COL,,NSH,W,2,30,28,0.933,0,62.78333333333333
2024-25,g/georgal01,11/13/2024,COL,,LAK,W,2,15,13,0.867,0,60
