Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410230WSH,WSH,PHI,17.0,Jakub VrÃ¡na,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,12.0,10:36,vranaja01
202410230WSH,WSH,PHI,18.0,Tom Wilson,0,0,0,4.0,2,0,0,0,0.0,0.0,0.0,0.0,0,,26.0,20:07,wilsoto01
202410230WSH,WSH,PHI,19.0,Logan Thompson,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,3.0,60:00,thomplo01
202410230WSH,WSH,PHI,,TOTAL,6,9,15,,10,6,0,0,,,,,25,24.0,,,
202410240BOS,BOS,DAL,1.0,Oskar Back,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,10:24,backos01
202410240BOS,BOS,DAL,2.0,Jamie Benn,0,1,1,0.0,4,0,0,0,0.0,0.0,1.0,0.0,0,,23.0,15:02,bennja01
202410240BOS,BOS,DAL,3.0,Colin Blackwell,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,18.0,10:55,blackco01
202410240BOS,BOS,DAL,4.0,Evgenii Dadonov,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,17.0,13:12,dadonev01
202410240BOS,BOS,DAL,5.0,Matt Duchene,1,2,3,1.0,0,1,0,0,0.0,0.0,2.0,0.0,2,50.0,21.0,15:21,duchema01
202410240BOS,BOS,DAL,6.0,Mathew Dumba,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,23.0,20:27,dumbama01
202410240BOS,BOS,DAL,7.0,Thomas Harley,0,1,1,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,25.0,18:55,harleth01
202410240BOS,BOS,DAL,8.0,Miro Heiskanen,0,1,1,1.0,0,0,0,0,0.0,0.0,1.0,0.0,1,0.0,26.0,24:06,heiskmi01
202410240BOS,BOS,DAL,9.0,Roope Hintz,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,0.0,4,25.0,25.0,18:18,hintzro01
202410240BOS,BOS,DAL,10.0,Wyatt Johnston,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,23.0,18:15,johnswy01
202410240BOS,BOS,DAL,11.0,Esa Lindell,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,20.0,20:15,lindees01
202410240BOS,BOS,DAL,12.0,Nils Lundkvist,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,18.0,14:40,lundkni01
202410240BOS,BOS,DAL,13.0,Ilya Lyubushkin,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,1,0.0,25.0,17:02,lyubuil01
202410240BOS,BOS,DAL,14.0,Mason Marchment,0,2,2,0.0,0,0,0,0,0.0,0.0,2.0,0.0,1,0.0,21.0,16:01,marchma01
202410240BOS,BOS,DAL,15.0,Jason Robertson,1,0,1,1.0,0,0,1,0,0.0,0.0,0.0,0.0,4,25.0,22.0,19:24,roberja01
202410240BOS,BOS,DAL,16.0,Tyler Seguin,1,2,3,2.0,0,0,1,0,0.0,2.0,0.0,0.0,1,100.0,23.0,15:02,seguity01
202410240BOS,BOS,DAL,17.0,Logan Stankoven,1,0,1,0.0,0,0,1,0,1.0,0.0,0.0,0.0,3,33.3,20.0,14:05,stanklo01
202410240BOS,BOS,DAL,18.0,Sam Steel,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,2,0.0,17.0,11:13,steelsa01
202410240BOS,BOS,DAL,19.0,Casey DeSmith,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,4.0,59:56,desmica01
202410240BOS,BOS,DAL,,TOTAL,5,9,14,,8,2,3,0,,,,,32,15.6,,,
202410240BOS,BOS,DAL,1.0,John Beecher,0,0,0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,17.0,11:02,beechjo01
202410240BOS,BOS,DAL,2.0,Justin Brazeau,1,0,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,2,50.0,20.0,12:40,brazeju01
