Player,PlayerID,Team,TeamID,Position
Nikolai Knyzhov,knyzhni01,San Jose Sharks,SJS,D
Pyotr Kochetkov,kochepy01,Carolina Hurricanes,CAR,G
Patrik Koch,kochpa01,Arizona Coyotes,ARI,D
Cole Koepke,koepkco01,Boston Bruins,BOS,F
Keegan Kolesar,koleske01,Vegas Golden Knights,VEG,F
Aleksei Kolosov,kolosal01,Philadelphia Flyers,PHI,G
Vladislav Kolyachonok,kolyavl01,Arizona Coyotes,ARI,D
Travis Konecny,konectr01,Philadelphia Flyers,PHI,F
Anze Kopitar,kopitan01,Los Angeles Kings,LAK,F
Kevin Korchinski,korchke01,Chicago Blackhawks,CHI,D
Kaedan Korczak,korczka01,Vegas Golden Knights,VEG,D
Joonas Korpisalo,korpijo01,Boston Bruins,BOS,G
Klim Kostin,kostikl01,San Jose Sharks,SJS,F
Jesperi Kotkaniemi,kotkaje01,Carolina Hurricanes,CAR,F
Johnathan Kovacevic,kovacjo01,New Jersey Devils,NJD,D
Nikolai Kovalenko,kovalni01,Colorado Avalanche,COL,F
Peyton Krebs,krebspe01,Buffalo Sabres,BUF,F
Chris Kreider,kreidch01,New York Rangers,NYR,F
Torey Krug,krugto01,St. Louis Blues,STL,D
Nikita Kucherov,kucheni01,Tampa Bay Lightning,TBL,F
Darcy Kuemper,kuempda01,Los Angeles Kings,LAK,G
Brett Kulak,kulakbr01,Edmonton Oilers,EDM,D
Jiri Kulich,kulicji01,Buffalo Sabres,BUF,F
Dmitry Kulikov,kulikdm01,Florida Panthers,FLA,D
Luke Kunin,kuninlu01,San Jose Sharks,SJS,F
Rasmus Kupari,kuparra01,Winnipeg Jets,WPG,F
Sean Kuraly,kuralse01,Columbus Blue Jackets,CBJ,F
Philipp Kurashev,kurasph01,Chicago Blackhawks,CHI,F
Andrei Kuzmenko,kuzmean01,Calgary Flames,CGY,F
Yan Kuznetsov,kuzneya01,Calgary Flames,CGY,D
Oliver Kylington,kylinol01,Colorado Avalanche,COL,D
Jordan Kyrou,kyroujo01,St. Louis Blues,STL,F
Kevin Labanc,labanke01,Columbus Blue Jackets,CBJ,F
Samuel Laberge,labersa01,New Jersey Devils,NJD,F
Jackson Lacombe,lacomja01,Anaheim Ducks,ANA,D
Alex Laferriere,laferal01,Los Angeles Kings,LAK,F
Sam Lafferty,laffesa01,Buffalo Sabres,BUF,F
Alexis Lafreniere,lafreal01,New York Rangers,NYR,F
Patrik Laine,lainepa01,Columbus Blue Jackets,CBJ,F
Brad Lambert,lambebr01,Winnipeg Jets,WPG,F
Maveric Lamoureux,lamouma01,Arizona Coyotes,ARI,D
Kevin Lankinen,lankike01,Vancouver Canucks,VAN,G
Hendrix Lapierre,lapiehe01,Washington Capitals,WSH,F
Dylan Larkin,larkidy01,Detroit Red Wings,DET,F
Adam Larsson,larssad01,Seattle Kraken,SEA,D
Scott Laughton,laughsc01,Philadelphia Flyers,PHI,F
Jakub Lauko,laukoja01,Minnesota Wild,MIN,F
Jeremy Lauzon,lauzoje01,Nashville Predators,NSH,D
Raphael Lavoie,lavoira01,Edmonton Oilers,EDM,F
Curtis Lazar,lazarcu01,New Jersey Devils,NJD,F
Brett Leason,leasobr01,Anaheim Ducks,ANA,F
Nick Leddy,leddyni01,St. Louis Blues,STL,D
Anders Lee,leean01,New York Islanders,NYI,F
Andre Lee,leean02,Los Angeles Kings,LAK,F
Artturi Lehkonen,lehkoar01,Colorado Avalanche,COL,F
Kris Letang,letankr01,Pittsburgh Penguins,PIT,D
Devon Levi,levide01,Buffalo Sabres,BUF,G
Trevor Lewis,lewistr01,Los Angeles Kings,LAK,F
Zachary L'Heureux,lheurza01,Nashville Predators,NSH,F
Timothy Liljegren,liljeti01,San Jose Sharks,SJS,D
Oskar Lindblom,lindbos01,San Jose Sharks,SJS,F
Esa Lindell,lindees01,Dallas Stars,DAL,D
Charlie Lindgren,lindgch01,Washington Capitals,WSH,G
Ryan Lindgren,lindgry01,New York Rangers,NYR,D
Elias Lindholm,lindhel01,Boston Bruins,BOS,F
Hampus Lindholm,lindhha01,Boston Bruins,BOS,D
Kole Lind,lindko01,Seattle Kraken,SEA,F
Blake Lizotte,lizotbl01,Pittsburgh Penguins,PIT,F
Mason Lohrei,lohrema01,Boston Bruins,BOS,D
Ryan Lomberg,lombery01,Calgary Flames,CGY,F
Steven Lorentz,lorenst01,Toronto Maple Leafs,TOR,F
Adam Lowry,lowryad01,Winnipeg Jets,WPG,F
Jett Luchanko,luchaje01,Philadelphia Flyers,PHI,F
John Ludvig,ludvijo01,Colorado Avalanche,COL,D
Anton Lundell,lundean01,Florida Panthers,FLA,F
Isac Lundestrom,lundeis01,Anaheim Ducks,ANA,F
Nils Lundkvist,lundkni01,Dallas Stars,DAL,D
Tristan Luneau,luneatr01,Anaheim Ducks,ANA,D
Eetu Luostarinen,luostee01,Florida Panthers,FLA,F
Ukko-Pekka Luukkonen,luukkuk01,Buffalo Sabres,BUF,G
Olle Lycksell,lycksol01,Philadelphia Flyers,PHI,F
Alex Lyon,lyonal01,Detroit Red Wings,DET,G
Ilya Lyubushkin,lyubuil01,Dallas Stars,DAL,D
Olli Maatta,maattol01,Arizona Coyotes,ARI,D
Matias Maccelli,maccema01,Arizona Coyotes,ARI,F
Kurtis Macdermid,macdeku01,New Jersey Devils,NJD,D
Mackenzie Maceachern,maceama01,St. Louis Blues,STL,F
Zack Macewen,macewza01,Ottawa Senators,OTT,F
Nathan Mackinnon,mackina01,Colorado Avalanche,COL,F
Kyle Maclean,macleky01,New York Islanders,NYI,F
Josh Mahura,mahurjo01,Seattle Kraken,SEA,D
Logan Mailloux,mailllo01,Montreal Canadiens,MTL,D
Cale Makar,makarca01,Colorado Avalanche,COL,D
James Malatesta,malatja01,Columbus Blue Jackets,CBJ,F
Beck Malenstyn,malenbe01,Buffalo Sabres,BUF,F
Sam Malinski,malinsa01,Colorado Avalanche,COL,D
Evgeni Malkin,malkiev01,Pittsburgh Penguins,PIT,F
Victor Mancini,mancivi01,New York Rangers,NYR,D
Andrew Mangiapane,mangian01,Washington Capitals,WSH,F
Josh Manson,mansojo01,Colorado Avalanche,COL,D
Anthony Mantha,manthan01,Calgary Flames,CGY,F
Brad Marchand,marchbr03,Boston Bruins,BOS,F
Kirill Marchenko,marchki01,Columbus Blue Jackets,CBJ,F
Mason Marchment,marchma01,Dallas Stars,DAL,F
John Marino,marinjo01,New Jersey Devils,NJD,D
Jacob Markstrom,marksja02,New Jersey Devils,NJD,G
Mitch Marner,marnemi01,Toronto Maple Leafs,TOR,F
Pat Maroon,maroopa01,Chicago Blackhawks,CHI,F
Alec Martinez,martial01,Chicago Blackhawks,CHI,D
Emil Lilleberg,martiem01,Tampa Bay Lightning,TBL,D
Jordan Martinook,martijo01,Carolina Hurricanes,CAR,F
Matt Martin,martima02,New York Islanders,NYI,F
Mike Matheson,mathemi01,Montreal Canadiens,MTL,D
Nikolas Matinpalo,matinni01,Ottawa Senators,OTT,D
Auston Matthews,matthau01,Toronto Maple Leafs,TOR,F
Scott Mayfield,mayfisc01,New York Islanders,NYI,D
Charlie Mcavoy,mcavoch01,Boston Bruins,BOS,D
Jack Mcbain,mcbaija03,Arizona Coyotes,ARI,F
Jake Mccabe,mccabja01,Toronto Maple Leafs,TOR,D
Jared Mccann,mccanja01,Seattle Kraken,SEA,F
Michael Mccarron,mccarmi01,Nashville Predators,NSH,F
Max Mccormick,mccorma01,Seattle Kraken,SEA,F
Connor Mcdavid,mcdavco01,Edmonton Oilers,EDM,F
Ryan Mcdonagh,mcdonry01,Tampa Bay Lightning,TBL,D
Brock Mcginn,mcginbr01,Anaheim Ducks,ANA,F
Hugh Mcging,mcginhu01,St. Louis Blues,STL,F
Rutger Mcgroarty,mcgroru01,Pittsburgh Penguins,PIT,F
Dylan Mcilrath,mcilrdy01,Washington Capitals,WSH,D
Marc Mclaughlin,mclauma01,Boston Bruins,BOS,F
Michael Mcleod,mcleomi01,New Jersey Devils,NJD,F
Ryan Mcleod,mcleory01,Buffalo Sabres,BUF,F
Bobby Mcmann,mcmanbo02,Toronto Maple Leafs,TOR,F
Connor Mcmichael,mcmicco01,Washington Capitals,WSH,F
Brayden Mcnabb,mcnabbr01,Vegas Golden Knights,VEG,D
Mason Mctavish,mctavma01,Anaheim Ducks,ANA,F
Cole Mcward,mcwarco01,Vancouver Canucks,VAN,D
Timo Meier,meierti01,New Jersey Devils,NJD,F
Dawson Mercer,merceda01,New Jersey Devils,NJD,F
Waltteri Merela,merelwa01,Tampa Bay Lightning,TBL,F
Georgii Merkulov,merkuge01,Boston Bruins,BOS,F
Dakota Mermis,mermida01,Minnesota Wild,MIN,D
Jon Merrill,merrijo01,Minnesota Wild,MIN,D
Elvis Merzlikins,merzlel01,Columbus Blue Jackets,CBJ,G
Carson Meyer,meyerca01,Columbus Blue Jackets,CBJ,F
Matvei Michkov,michkma01,Philadelphia Flyers,PHI,F
Jake Middleton,middlja01,Minnesota Wild,MIN,D
Ilya Mikheyev,mikheil01,Chicago Blackhawks,CHI,F
Niko Mikkola,mikkoni01,Florida Panthers,FLA,D
Sonny Milano,milanso01,Washington Capitals,WSH,F
Colin Miller,milleco02,Winnipeg Jets,WPG,D
J.T. Miller,millejt01,Vancouver Canucks,VAN,F
K'Andre Miller,milleka01,New York Rangers,NYR,D
Fraser Minten,mintefr01,Toronto Maple Leafs,TOR,F
Pavel Mintyukov,mintypa01,Anaheim Ducks,ANA,D
Daniil Miromanov,miromda01,Calgary Flames,CGY,D
Ivan Miroshnichenko,mirosiv01,Washington Capitals,WSH,F
Daniil Misyul,misyuda01,New Jersey Devils,NJD,D
Casey Mittelstadt,mitteca01,Colorado Avalanche,COL,F
Sean Monahan,monahse01,Columbus Blue Jackets,CBJ,F
Sam Montembeault,montesa01,Montreal Canadiens,MTL,G
Brandon Montour,montobr01,Seattle Kraken,SEA,D
Trevor Moore,mooretr01,Los Angeles Kings,LAK,F
Mason Morelli,morelma01,Vegas Golden Knights,VEG,F
Josh Morrissey,morrijo04,Winnipeg Jets,WPG,D
Logan Morrison,morrilo01,Seattle Kraken,SEA,F
Scott Morrow,morrosc02,Carolina Hurricanes,CAR,D
J.J. Moser,moserja01,Tampa Bay Lightning,TBL,D
Tyler Motte,mottety01,Detroit Red Wings,DET,F
Jacob Moverare,moverja01,Los Angeles Kings,LAK,D
Petr Mrazek,mrazepe01,Chicago Blackhawks,CHI,G
Shakir Mukhamadullin,mukhash01,San Jose Sharks,SJS,D
Connor Murphy,murphco02,Chicago Blackhawks,CHI,D
Brett Murray,murrabr02,Buffalo Sabres,BUF,F
Philippe Myers,myersph01,Toronto Maple Leafs,TOR,D
Tyler Myers,myersty01,Vancouver Canucks,VAN,D
Bradly Nadeau,nadeabr01,Carolina Hurricanes,CAR,F
Vladislav Namestnikov,namesvl01,Winnipeg Jets,WPG,F
Riley Nash,nashri02,New York Rangers,NYR,F
Frank Nazar,nazarfr01,Chicago Blackhawks,CHI,F
Martin Necas,necasma01,Carolina Hurricanes,CAR,F
Alex Nedeljkovic,nedelal01,Pittsburgh Penguins,PIT,G
Jake Neighbours,neighja01,St. Louis Blues,STL,F
Brock Nelson,nelsobr01,New York Islanders,NYI,F
Simon Nemec,nemecsi01,New Jersey Devils,NJD,D
Nikita Nesterenko,nesteni02,Anaheim Ducks,ANA,F
Alex Newhook,newhoal01,Montreal Canadiens,MTL,F
Valeri Nichushkin,nichuva01,Colorado Avalanche,COL,F
Nino Niederreiter,niedeni01,Winnipeg Jets,WPG,F
Matt Nieto,nietoma01,Pittsburgh Penguins,PIT,F
Stefan Noesen,noesest01,New Jersey Devils,NJD,F
Josh Norris,norrijo01,Ottawa Senators,OTT,F
Tomas Nosek,nosekto01,Florida Panthers,FLA,F
Tommy Novak,novakth01,Nashville Predators,NSH,F
Ryan Nugent-Hopkins,nugenry01,Edmonton Oilers,EDM,F
Darnell Nurse,nurseda01,Edmonton Oilers,EDM,D
William Nylander,nylanwi01,Toronto Maple Leafs,TOR,F
Gustav Nyquist,nyquigu01,Nashville Predators,NSH,F
Liam O'Brien,obrieli01,Arizona Coyotes,ARI,F
Drew O'Connor,oconndr01,Pittsburgh Penguins,PIT,F
Logan O'Connor,oconnlo01,Colorado Avalanche,COL,F
Jake Oettinger,oettija01,Dallas Stars,DAL,G
Liam Ohgren,ohgreli01,Minnesota Wild,MIN,F
Oskar Olausson,olausos01,Colorado Avalanche,COL,F
Jamie Oleksiak,oleksja01,Seattle Kraken,SEA,D
Mathieu Olivier,olivima01,Columbus Blue Jackets,CBJ,F
Gustav Olofsson,olofsgu01,Seattle Kraken,SEA,D
Victor Olofsson,olofsvi01,Vegas Golden Knights,VEG,F
Ryan O'Reilly,oreilry01,Nashville Predators,NSH,F
Dmitry Orlov,orlovdm01,Carolina Hurricanes,CAR,D
T.J. Oshie,oshietj01,Washington Capitals,WSH,F
Zack Ostapchuk,ostapza01,Ottawa Senators,OTT,F
Brennan Othmann,othmabr01,New York Rangers,NYR,F
Alex Ovechkin,ovechal01,Washington Capitals,WSH,F
Brayden Pachal,pachabr01,Calgary Flames,CGY,D
Max Pacioretty,pacioma01,Toronto Maple Leafs,TOR,F
Jean-Gabriel Pageau,pageaje01,New York Islanders,NYI,F
Ondrej Palat,palaton01,New Jersey Devils,NJD,F
Kyle Palmieri,palmiky01,New York Islanders,NYI,F
Artemi Panarin,panarar01,New York Rangers,NYR,F
Colton Parayko,parayco01,St. Louis Blues,STL,D
Juuso Parssinen,parssju01,Nashville Predators,NSH,F
David Pastrnak,pastrda01,Boston Bruins,BOS,F
Nicholas Paul,paulni01,Tampa Bay Lightning,TBL,F
Joe Pavelski,paveljo01,Dallas Stars,DAL,F
Ondrej Pavel,pavelon02,Colorado Avalanche,COL,F
Tanner Pearson,pearsta01,Vegas Golden Knights,VEG,F
Andrew Peeke,peekean01,Boston Bruins,BOS,D
Adam Pelech,pelecad01,New York Islanders,NYI,D
Jakob Pelletier,pelleja01,Calgary Flames,CGY,F
Nick Perbix,perbini01,Tampa Bay Lightning,TBL,D
Cole Perfetti,perfeco01,Winnipeg Jets,WPG,F
David Perron,perroda01,Ottawa Senators,OTT,F
Corey Perry,perryco01,Edmonton Oilers,EDM,F
Scott Perunovich,perunsc01,St. Louis Blues,STL,D
Brett Pesce,pescebr01,New Jersey Devils,NJD,D
Nic Petan,petanni01,Minnesota Wild,MIN,F
Jj Peterka,peterjo01,Buffalo Sabres,BUF,F
Alexander Petrovic,petroal01,Dallas Stars,DAL,D
Jeff Petry,petryje01,Detroit Red Wings,DET,D
Elias Pettersson,petteel01,Vancouver Canucks,VAN,F
Marcus Pettersson,pettema01,Pittsburgh Penguins,PIT,D
Michael Pezzetta,pezzemi01,Montreal Canadiens,MTL,F
Isaak Phillips,phillis01,Chicago Blackhawks,CHI,D
Noah Philp,philpno01,Edmonton Oilers,EDM,F
Calvin Pickard,pickaca01,Edmonton Oilers,EDM,G
Alex Pietrangelo,pietral01,Vegas Golden Knights,VEG,D
Shane Pinto,pintosh01,Ottawa Senators,OTT,F
Neal Pionk,pionkne01,Winnipeg Jets,WPG,D
Vasily Podkolzin,podkova01,Edmonton Oilers,EDM,F
Ryan Poehling,poehlry01,Philadelphia Flyers,PHI,F
Brayden Point,pointbr01,Tampa Bay Lightning,TBL,F
Matthew Poitras,poitrma01,Boston Bruins,BOS,F
Jason Polin,polinja01,Colorado Avalanche,COL,F
Vasiliy Ponomarev,ponomva01,Carolina Hurricanes,CAR,F
Martin Pospisil,pospima01,Calgary Flames,CGY,F
Andrew Poturalski,poturan01,Seattle Kraken,SEA,F
Sam Poulin,poulisa01,Pittsburgh Penguins,PIT,F
Owen Power,powerow01,Buffalo Sabres,BUF,D
Cayden Primeau,primeca01,Montreal Canadiens,MTL,G
Nikita Prishchepov,prishni01,Colorado Avalanche,COL,C
Aliaksei Protas,protaal01,Washington Capitals,WSH,F
Ivan Provorov,provoiv01,Columbus Blue Jackets,CBJ,D
Jesse Puljujarvi,puljuje01,Pittsburgh Penguins,PIT,F
Ryan Pulock,pulocry01,New York Islanders,NYI,D
Valtteri Puustinen,puustva01,Pittsburgh Penguins,PIT,F
Mikael Pyyhtia,pyyhtmi01,Columbus Blue Jackets,CBJ,F
Jonathan Quick,quickjo01,New York Rangers,NYR,G
Jack Quinn,quinnja01,Buffalo Sabres,BUF,F
Darren Raddysh,raddyda01,Tampa Bay Lightning,TBL,D
Taylor Raddysh,raddyta01,Washington Capitals,WSH,F
Rickard Rakell,rakelri01,Pittsburgh Penguins,PIT,F
Mikko Rantanen,rantami01,Colorado Avalanche,COL,F
Michael Rasmussen,rasmumi01,Detroit Red Wings,DET,F
Aatu Raty,ratyaa01,Vancouver Canucks,VAN,F
Aku Raty,ratyak01,Arizona Coyotes,ARI,F
Lucas Raymond,raymolu01,Detroit Red Wings,DET,F
Ryan Reaves,reavery01,Toronto Maple Leafs,TOR,F
Pavol Regenda,regenpa01,Anaheim Ducks,ANA,F
Lukas Reichel,reichlu01,Chicago Blackhawks,CHI,F
Mike Reilly,reillmi01,New York Islanders,NYI,D
James Reimer,reimeja01,Anaheim Ducks,ANA,G
Cole Reinhardt,reinhco01,Ottawa Senators,OTT,F
Sam Reinhart,reinhsa01,Florida Panthers,FLA,F
Sheldon Rempal,rempash01,Vegas Golden Knights,VEG,F
Matt Rempe,rempema01,New York Rangers,NYR,F
Morgan Rielly,riellmo01,Toronto Maple Leafs,TOR,D
Marshall Rifai,rifaima01,Toronto Maple Leafs,TOR,D
Rasmus Ristolainen,ristora01,Philadelphia Flyers,PHI,D
Calum Ritchie,ritchca01,Colorado Avalanche,COL,F
David Rittich,rittida01,Los Angeles Kings,LAK,G
Jason Robertson,roberja01,Dallas Stars,DAL,F
Nicholas Robertson,roberni01,Toronto Maple Leafs,TOR,F
Eric Robinson,robiner01,Carolina Hurricanes,CAR,F
Evan Rodrigues,rodriev01,Florida Panthers,FLA,F
Alexander Romanov,romanal01,New York Islanders,NYI,D
Jonas Rondbjerg,rondbjo01,Vegas Golden Knights,VEG,F
Kevin Rooney,rooneke01,Calgary Flames,CGY,F
Filip Roos,roosfi01,Chicago Blackhawks,CHI,D
Calle Rosen,rosenca01,St. Louis Blues,STL,D
Isak Rosen,rosenis01,Buffalo Sabres,BUF,F
Jack Roslovic,rosloja01,Carolina Hurricanes,CAR,F
Marco Rossi,rossima01,Minnesota Wild,MIN,F
Lukas Rousek,rouselu01,Buffalo Sabres,BUF,F
Joshua Roy,royjo01,Montreal Canadiens,MTL,F
Matt Roy,royma04,Washington Capitals,WSH,D
Nicolas Roy,royni01,Vegas Golden Knights,VEG,F
Chad Ruhwedel,ruhwech01,New York Rangers,NYR,D
Bryan Rust,rustbr01,Pittsburgh Penguins,PIT,F
Jan Rutta,ruttaja02,San Jose Sharks,SJS,D
Derek Ryan,ryande01,Edmonton Oilers,EDM,F
Brandon Saad,saadbr01,St. Louis Blues,STL,F
Scott Sabourin,sabousc01,San Jose Sharks,SJS,F
Dylan Samberg,sambedy01,Winnipeg Jets,WPG,D
Mackie Samoskevich,samosma01,Florida Panthers,FLA,F
Ilya Samsonov,samsoil01,Vegas Golden Knights,VEG,G
Mattias Samuelsson,samuema02,Buffalo Sabres,BUF,D
Jake Sanderson,sandeja01,Ottawa Senators,OTT,D
Rasmus Sandin,sandira01,Washington Capitals,WSH,D
Travis Sanheim,sanhetr01,Philadelphia Flyers,PHI,D
Juuse Saros,sarosju01,Nashville Predators,NSH,G
David Savard,savarda01,Montreal Canadiens,MTL,D
Matt Savoie,savoima01,Buffalo Sabres,BUF,F
Marco Scandella,scandma01,St. Louis Blues,STL,D
Brandon Scanlin,scanlbr01,New York Rangers,NYR,D
Mark Scheifele,scheima01,Winnipeg Jets,WPG,F
Brayden Schenn,schenbr01,St. Louis Blues,STL,F
Luke Schenn,schenlu01,Nashville Predators,NSH,D
Nick Schmaltz,schmani01,Arizona Coyotes,ARI,F
Nate Schmidt,schmina01,Florida Panthers,FLA,D
Braden Schneider,schnebr01,New York Rangers,NYR,D
Justin Schultz,schulju01,Seattle Kraken,SEA,D
Jaden Schwartz,schwaja01,Seattle Kraken,SEA,F
Cole Schwindt,schwico01,Vegas Golden Knights,VEG,F
Nick Seeler,seeleni01,Philadelphia Flyers,PHI,D
Tyler Seguin,seguity01,Dallas Stars,DAL,F
Moritz Seider,seidemo01,Detroit Red Wings,DET,D
Brett Seney,seneybr01,Chicago Blackhawks,CHI,F
Mikhail Sergachev,sergami01,Arizona Coyotes,ARI,D
Damon Severson,severda01,Columbus Blue Jackets,CBJ,D
Michael Sgarbossa,sgarbmi01,Washington Capitals,WSH,F
Yegor Sharangovich,sharaye01,Calgary Flames,CGY,F
Mason Shaw,shawma01,Minnesota Wild,MIN,F
Conor Sheary,shearco01,Tampa Bay Lightning,TBL,F
Ryan Shea,sheary01,Pittsburgh Penguins,PIT,D
Kiefer Sherwood,sherwki01,Vancouver Canucks,VAN,F
Igor Shesterkin,shestig01,New York Rangers,NYR,G
Jonas Siegenthaler,siegejo01,New Jersey Devils,NJD,D
Jakob Silfverberg,silfvja01,Anaheim Ducks,ANA,F
Cole Sillinger,sillico01,Columbus Blue Jackets,CBJ,F
Arturs Silovs,silovar01,Vancouver Canucks,VAN,G
Colton Sissons,sissoco01,Nashville Predators,NSH,F
Jeff Skinner,skinnje01,Edmonton Oilers,EDM,F
Stuart Skinner,skinnst01,Edmonton Oilers,EDM,G
Brady Skjei,skjeibr01,Nashville Predators,NSH,D
Juraj Slafkovsky,slafkju01,Montreal Canadiens,MTL,F
Landon Slaggert,slaggla01,Chicago Blackhawks,CHI,F
Jaccob Slavin,slavija01,Carolina Hurricanes,CAR,D
Jiri Smejkal,smejkji01,Ottawa Senators,OTT,F
Brendan Smith,smithbr05,Dallas Stars,DAL,D
Cole Smith,smithco02,Nashville Predators,NSH,F
Craig Smith,smithcr01,Chicago Blackhawks,CHI,F
Givani Smith,smithgi01,San Jose Sharks,SJS,F
Reilly Smith,smithre01,New York Rangers,NYR,F
Will Smith,smithwi01,San Jose Sharks,SJS,F
Joe Snively,snivejo01,Washington Capitals,WSH,F
Arvid Soderblom,soderar01,Chicago Blackhawks,CHI,G
Victor Soderstrom,sodervi01,Arizona Coyotes,ARI,D
Mads Sogaard,sogaama01,Ottawa Senators,OTT,G
Ilya Solovyov,solovil01,Calgary Flames,CGY,D
Ilya Sorokin,sorokil01,New York Islanders,NYI,G
Carson Soucy,soucyca01,Vancouver Canucks,VAN,D
Justin Sourdif,sourdju01,Florida Panthers,FLA,F
Jordan Spence,spencjo01,Los Angeles Kings,LAK,D
Daniel Sprong,spronda01,Vancouver Canucks,VAN,F
Jared Spurgeon,spurgja01,Minnesota Wild,MIN,D
Jordan Staal,staaljo01,Carolina Hurricanes,CAR,F
Steven Stamkos,stamkst01,Nashville Predators,NSH,F
Logan Stankoven,stanklo01,Dallas Stars,DAL,F
Logan Stanley,stanllo01,Winnipeg Jets,WPG,D
Spencer Stastney,stastsp01,Nashville Predators,NSH,D
Troy Stecher,stechtr01,Edmonton Oilers,EDM,D
Sam Steel,steelsa01,Dallas Stars,DAL,F
Oskar Steen,steenos01,Boston Bruins,BOS,F
Alex Steeves,steeval02,Toronto Maple Leafs,TOR,F
Kevin Stenlund,stenlke01,Arizona Coyotes,ARI,F
Chandler Stephenson,stephch02,Seattle Kraken,SEA,F
Mitchell Stephens,stephmi01,Montreal Canadiens,MTL,F
Matt Stienburg,stienma01,Colorado Avalanche,COL,F
Jack St. Ivany,stivajo01,Pittsburgh Penguins,PIT,D
Anthony Stolarz,stolaan01,Toronto Maple Leafs,TOR,G
Mark Stone,stonema01,Vegas Golden Knights,VEG,F
Dylan Strome,stromdy01,Washington Capitals,WSH,F
Ryan Strome,stromry01,Anaheim Ducks,ANA,F
Jayden Struble,strubja01,Montreal Canadiens,MTL,D
Tim Stutzle,stuetti02,Ottawa Senators,OTT,F
Nico Sturm,sturmni01,San Jose Sharks,SJS,F
Oskar Sundqvist,sundqos01,St. Louis Blues,STL,F
Pius Suter,suterpi01,Vancouver Canucks,VAN,F
Ryan Suter,suterry01,St. Louis Blues,STL,D
Nick Suzuki,suzukni01,Montreal Canadiens,MTL,F
Andrei Svechnikov,svechan01,Carolina Hurricanes,CAR,F
Jeremy Swayman,swaymje01,Boston Bruins,BOS,G
Maksymilian Szuber,szubema01,Arizona Coyotes,ARI,D
Cam Talbot,talboca01,Detroit Red Wings,DET,G
Brandon Tanev,tanevbr01,Seattle Kraken,SEA,F
Chris Tanev,tanevch01,Toronto Maple Leafs,TOR,D
Daniil Tarasov,tarasda02,Columbus Blue Jackets,CBJ,G
Vladimir Tarasenko,tarasvl01,Detroit Red Wings,DET,F
Tomas Tatar,tatarto01,New Jersey Devils,NJD,F
John Tavares,tavarjo01,Toronto Maple Leafs,TOR,F
Teuvo Teravainen,teravte01,Chicago Blackhawks,CHI,F
Troy Terry,terrytr01,Anaheim Ducks,ANA,F
Alexandre Texier,texieal01,St. Louis Blues,STL,F
Shea Theodore,theodsh01,Vegas Golden Knights,VEG,D
Akil Thomas,thomaak01,Los Angeles Kings,LAK,F
Robert Thomas,thomaro01,St. Louis Blues,STL,F
Jack Thompson,thompja01,San Jose Sharks,SJS,D
Logan Thompson,thomplo01,Washington Capitals,WSH,G
Tage Thompson,thompta01,Buffalo Sabres,BUF,F
Henry Thrun,thrunhe01,San Jose Sharks,SJS,D
Conor Timmins,timmico01,Toronto Maple Leafs,TOR,D
Jarred Tinordi,tinorja01,Chicago Blackhawks,CHI,D
Owen Tippett,tippeow01,Philadelphia Flyers,PHI,F
Brady Tkachuk,tkachbr01,Ottawa Senators,OTT,F
Matthew Tkachuk,tkachma01,Florida Panthers,FLA,F
Devon Toews,toewsde01,Colorado Avalanche,COL,D
Tyler Toffoli,toffoty01,San Jose Sharks,SJS,F
Eeli Tolvanen,tolvaee01,Seattle Kraken,SEA,F
Philip Tomasino,tomasph01,Nashville Predators,NSH,F
Dominic Toninato,tonindo01,Winnipeg Jets,WPG,F
Alexey Toropchenko,toropal01,St. Louis Blues,STL,F
Yakov Trenin,treniya01,Minnesota Wild,MIN,F
Vincent Trocheck,trochvi01,New York Rangers,NYR,F
Jacob Trouba,troubja01,New York Rangers,NYR,D
Maxim Tsyplakov,tsyplma01,New York Islanders,NYI,F
Alex Tuch,tuchal01,Buffalo Sabres,BUF,F
Tyler Tucker,tuckety01,St. Louis Blues,STL,D
Riley Tufte,tufteri01,Boston Bruins,BOS,F
Alex Turcotte,turcoal02,Los Angeles Kings,LAK,F
T.J. Tynan,tynant.01,Colorado Avalanche,COL,F
Linus Ullmark,ullmali01,Ottawa Senators,OTT,G
Urho Vaakanainen,vaakaur01,Anaheim Ducks,ANA,D
Juuso Valimaki,valimju01,Arizona Coyotes,ARI,D
Vitek Vanecek,vanecvi01,San Jose Sharks,SJS,G
James Van Riemsdyk,vanrija01,Columbus Blue Jackets,CBJ,F
Trevor Van Riemsdyk,vanritr01,Washington Capitals,WSH,D
Semyon Varlamov,varlasi01,New York Islanders,NYI,G
Andrei Vasilevskiy,vasilan02,Tampa Bay Lightning,TBL,G
Frank Vatrano,vatrafr01,Anaheim Ducks,ANA,F
Karel Vejmelka,vejmeka01,Arizona Coyotes,ARI,G
Joe Veleno,velenjo01,Detroit Red Wings,DET,F
Carter Verhaeghe,verhaca01,Florida Panthers,FLA,F
Jimmy Vesey,veseyji02,New York Rangers,NYR,F
Gabriel Vilardi,vilarga01,Winnipeg Jets,WPG,F
Daniel Vladar,vladada01,Calgary Flames,CGY,G
Alex Vlasic,vlasial01,Chicago Blackhawks,CHI,D
Marc-Edouard Vlasic,vlasima01,San Jose Sharks,SJS,D
Dmitri Voronkov,vorondi01,Columbus Blue Jackets,CBJ,F
