GameID,Game,PlayerID,Player,Team,Is_Home,Opp,Stat,Line,Type,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,celebma01,Macklin Celebrini,SJS,0,NJD,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,marchki01,Kirill Marchenko,CBJ,0,ANA,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,meierti01,Timo Meier,NJD,1,SJS,SOG,2.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hischni01,Nico Hischier,NJD,1,SJS,SOG,2.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,brattje01,Jesper Bratt,NJD,1,SJS,SOG,2.5,Gob.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,merceda01,Dawson Mercer,NJD,1,SJS,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,gauthcu01,Cutter Gauthier,ANA,1,CBJ,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,chinaye01,Yegor Chinakhov,CBJ,0,ANA,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,terrytr01,Troy Terry,ANA,1,CBJ,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,fantiad01,Adam Fantilli,CBJ,0,ANA,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,monahse01,Sean Monahan,CBJ,0,ANA,SOG,2.5,Norm.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,zegratr01,Trevor Zegras,ANA,1,CBJ,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,stromry01,Ryan Strome,ANA,1,CBJ,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,mctavma01,Mason McTavish,ANA,1,CBJ,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,carlsle01,Leo Carlsson,ANA,1,CBJ,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,vorondi01,Dmitri Voronkov,CBJ,0,ANA,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,severda01,Damon Severson,CBJ,0,ANA,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,bertuty01,Tyler Bertuzzi,CHI,1,MIN,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,hartmry01,Ryan Hartman,MIN,0,CHI,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,donatry01,Ryan Donato,CHI,1,MIN,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100CHI,CHI vs MIN,spurgja01,Jared Spurgeon,MIN,0,CHI,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,meierti01,Timo Meier,NJD,1,SJS,SOG,3.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,hischni01,Nico Hischier,NJD,1,SJS,SOG,3.5,Dem.,,,,,,,,,,,,,,,,,
202411100NJD,NJD vs SJS,brattje01,Jesper Bratt,NJD,1,SJS,SOG,3.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,gauthcu01,Cutter Gauthier,ANA,1,CBJ,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,chinaye01,Yegor Chinakhov,CBJ,0,ANA,SOG,1.5,Gob.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,zegratr01,Trevor Zegras,ANA,1,CBJ,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
202411100ANA,ANA vs CBJ,stromry01,Ryan Strome,ANA,1,CBJ,SOG,2.5,Dem.,,,,,,,,,,,,,,,,,
