Season,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards,PlayerID,
2019-20,Carter Hart,21,PHI,G,43,40,24,13,3,95,1100,1005,0.914,2.42,1,2355.833333,25,0.625,9,96,4.5,2.57,6.7,0,0,0,0,ASnhl-9,hartca01,
2019-20,Petr Mrazek,27,CAR,G,40,38,21,16,2,104,1091,987,0.905,2.69,3,2320.983333,19,0.5,7,105,-5.3,2.87,5.6,0,0,0,4,,mrazepe01,
2019-20,Alex Stalock,32,MIN,G,38,36,20,11,4,97,1082,985,0.91,2.67,4,2177.35,19,0.528,5,99,0.8,2.84,6.2,0,1,1,4,,staloal01,
2019-20,Mike Smith,37,EDM,G,39,37,19,12,6,106,1087,981,0.902,2.95,1,2156.85,17,0.459,9,108,-7.7,3.14,5.3,0,2,2,21,,smithmi01,
2019-20,Philipp Grubauer,28,COL,G,36,36,18,12,4,90,1067,977,0.916,2.63,2,2057.1,17,0.472,4,93,6.5,2.8,6.7,0,0,0,0,,grubaph01,
2019-20,Linus Ullmark,26,BUF,G,34,34,17,14,3,91,1066,975,0.915,2.69,1,2026.633333,19,0.559,2,94,5.4,2.87,6.6,0,0,0,4,,ullmali01,
2019-20,Alexandar Georgiev,23,NYR,G,34,32,17,14,2,96,1063,967,0.91,3.04,2,1891.733333,17,0.531,5,100,0.1,3.24,6,0,1,1,0,,georgal01,
2019-20,Matt Murray,25,PIT,G,38,38,20,11,5,107,1055,948,0.899,2.87,1,2237.5,16,0.421,8,112,-11.6,3.06,4.7,0,1,1,2,,murrama02,
2019-20,Joonas Korpisalo,25,CBJ,G,37,35,19,12,5,92,1030,938,0.911,2.6,2,2125.9,21,0.6,5,99,1.1,2.77,5.9,0,1,1,0,,korpijo01,
2019-20,Antti Raanta,30,ARI,G,33,32,15,14,3,80,1014,934,0.921,2.63,2,1822.9,19,0.594,3,87,11.7,2.8,7,0,0,0,2,,raantan01,
2019-20,Pavel Francouz,29,COL,G,34,30,21,7,4,77,996,919,0.923,2.41,1,1914.433333,17,0.567,5,85,13.1,2.57,7,0,0,0,2,ASnhl-12,francpa01,
2019-20,Craig Anderson,38,OTT,G,34,31,11,17,2,100,1018,918,0.902,3.25,0,1845.183333,14,0.452,7,109,-7.9,3.48,4.9,0,1,1,0,,andercr01,
2019-20,Tristan Jarry,24,PIT,G,33,31,20,12,1,78,985,907,0.921,2.43,3,1926.483333,19,0.613,3,88,11.1,2.59,6.7,0,0,0,0,"ASG, ASnhl-9, Hart-17, Vezina-7",jarrytr01,
2019-20,Pekka Rinne,37,NSH,G,36,35,18,14,4,105,1004,899,0.895,3.17,3,1987.766667,16,0.457,11,116,-14.2,3.38,4.1,1,2,3,0,,rinnepe01,
2019-20,Aaron Dell,30,SJS,G,33,30,12,15,3,92,986,894,0.907,3.01,0,1834.233333,15,0.5,5,103,-2.8,3.21,5.3,0,0,0,0,,dellaa01,
2019-20,Elvis Merzlikins,25,CBJ,G,33,31,13,9,8,71,919,848,0.923,2.35,5,1815.133333,17,0.548,3,85,12.1,2.48,6.5,0,0,0,0,"ASnhl-9, AR-1, Calder-5, Vezina-5",merzlel01,
2019-20,Darcy Kuemper,29,ARI,G,29,29,16,11,2,65,903,838,0.928,2.22,2,1753.4,22,0.759,2,80,16.7,2.36,6.9,0,0,0,6,"ASnhl-6, Vezina-7",kuempda01,
2019-20,Jaroslav Halak,34,BOS,G,31,29,18,6,6,73,905,832,0.919,2.39,3,1833.366667,18,0.621,3,89,8.8,2.55,6.1,0,2,2,0,Jennings-1,halakja01,
2019-20,Carter Hutton,34,BUF,G,31,30,12,14,4,94,918,824,0.898,3.18,2,1775.433333,14,0.467,7,113,-11,3.38,4,0,1,1,6,,huttoca01,
2019-20,Anton Khudobin,33,DAL,G,30,26,16,8,4,62,882,820,0.93,2.22,0,1677.483333,19,0.731,2,78,17.8,2.36,6.9,0,3,3,4,ASnhl-12,khudoan01,
2019-20,Henrik Lundqvist,37,NYR,G,30,26,10,12,3,84,883,799,0.905,3.16,1,1596.733333,13,0.5,4,105,-4.2,3.38,4.5,0,1,1,2,,lundqhe01,
2019-20,Thomas Greiss,34,NYI,G,31,28,16,9,4,73,838,765,0.913,2.74,0,1595.933333,15,0.536,5,96,2.8,2.93,5,0,0,0,2,,greisth01,
2019-20,Devan Dubnyk,33,MIN,G,30,28,12,15,2,93,849,756,0.89,3.35,1,1664.65,9,0.321,5,121,-16.2,3.57,3.1,0,0,0,2,,dubnyde01,
2019-20,Thatcher Demko,24,VAN,G,27,25,13,10,2,78,822,744,0.905,3.06,0,1529.05,15,0.6,5,105,-3.7,3.26,4.2,0,0,0,0,,demkoth01,
2019-20,Jimmy Howard,35,DET,G,27,27,2,23,2,96,817,721,0.882,4.2,0,1371.566667,7,0.259,9,130,-22.1,4.51,2.2,0,0,0,0,,howarja02,
2019-20,Cam Talbot,32,CGY,G,26,22,12,10,1,63,780,717,0.919,2.63,2,1434.65,11,0.5,2,89,7.5,2.8,5.2,0,0,0,21,,talboca01,
2019-20,Brian Elliott,34,PHI,G,31,27,16,7,4,80,796,716,0.899,2.87,2,1673.9,14,0.519,8,111,-8,3.05,3.6,0,1,1,2,,elliobr01,
2019-20,Jack Campbell,28,2TM,G,26,26,11,12,3,73,761,688,0.904,2.8,0,1566.983333,11,0.423,4,106,-4.2,2.99,3.8,0,0,0,0,,campbja01,
2019-20,Marcus Hogberg,25,OTT,G,24,21,5,8,8,70,728,658,0.904,3.12,0,1344.55,10,0.476,3,106,-4.2,3.35,3.7,0,0,0,0,,hogbema01,
2019-20,James Reimer,31,CAR,G,25,24,14,6,2,61,712,651,0.914,2.66,3,1378.016667,15,0.625,6,95,3.4,2.83,4.4,0,0,0,2,,reimeja01,
2019-20,Ilya Samsonov,22,WSH,G,26,22,16,6,2,60,689,629,0.913,2.55,1,1411.033333,13,0.591,2,96,2.3,2.72,4.1,0,0,0,2,Calder-12,samsoil01,
2019-20,Ryan Miller,39,ANA,G,23,19,9,6,4,64,685,621,0.907,3.1,0,1238.233333,11,0.579,2,103,-2.1,3.3,3.6,0,1,1,0,,millery01,
2019-20,Jake Allen,29,STL,G,24,21,12,6,3,48,655,607,0.927,2.15,2,1339.066667,14,0.667,2,81,11.2,2.29,4.9,0,0,0,0,,allenja01,
2019-20,Anders Nilsson,29,OTT,G,20,19,9,9,2,58,628,570,0.908,3.18,0,1093.266667,11,0.579,5,102,-1.2,3.4,3.4,0,0,0,0,,nilssan01,
2019-20,Jack Campbell,28,LAK,G,20,20,8,10,2,57,572,515,0.9,2.85,0,1201.633333,7,0.35,4,110,-5.3,3.05,2.7,0,0,0,0,,campbja01,
2019-20,Curtis McElhinney,36,TBL,G,18,18,8,7,3,52,551,499,0.906,2.89,1,1080.933333,8,0.444,2,104,-2.2,3.05,2.9,0,0,0,0,,mcelhcu01,
2019-20,Malcolm Subban,26,2TM,G,21,19,9,7,3,60,546,486,0.89,3.17,0,1134.25,7,0.368,7,122,-10.6,3.39,1.9,0,0,0,0,,subbama01,
2019-20,Malcolm Subban,26,VEG,G,20,19,9,7,3,60,546,486,0.89,3.18,0,1133.083333,7,0.368,7,122,-10.6,3.39,1.9,0,0,0,0,,subbama01,
2019-20,Laurent Brossoit,26,WPG,G,19,15,6,7,1,54,512,458,0.895,3.28,0,987.8833333,7,0.467,1,117,-7.7,3.52,2.1,0,0,0,0,,brossla01,
2019-20,Igor Shesterkin,24,NYR,G,12,12,10,2,0,29,424,395,0.932,2.52,0,691.5833333,9,0.75,1,76,9.3,2.69,3.4,0,0,0,0,,shestig01,
2019-20,Michael Hutchinson,29,2TM,G,16,12,5,9,1,49,439,390,0.888,3.47,1,847.0166667,4,0.333,0,123,-9.3,3.68,1.5,0,0,0,0,,hutchmi01,
2019-20,Louis Domingue,27,2TM,G,17,15,3,9,2,51,433,382,0.882,3.81,0,802.3166667,4,0.267,5,130,-11.8,4.04,1.2,0,0,0,0,,dominlo01,
2019-20,Michael Hutchinson,29,TOR,G,15,11,4,9,1,48,421,373,0.886,3.66,1,787.0166667,3,0.273,0,126,-9.9,3.89,1.3,0,0,0,0,,hutchmi01,
2019-20,Louis Domingue,27,NJD,G,16,14,3,8,2,47,399,352,0.882,3.79,0,743.5333333,4,0.286,5,130,-10.9,4.03,1.1,0,0,0,0,,dominlo01,
2019-20,Chris Driedger,25,FLA,G,12,11,7,2,1,22,354,332,0.938,2.05,1,642.6666667,8,0.727,0,69,10,2.15,3.1,0,0,0,0,,driedch01,
2019-20,Sam Montembeault,23,FLA,G,14,9,5,5,1,39,356,317,0.89,3.34,0,700.75,3,0.333,2,121,-6.8,3.6,1.3,0,0,0,0,,montesa01,
2019-20,Adin Hill,23,ARI,G,13,9,2,4,3,28,343,315,0.918,2.62,0,640.7666667,5,0.556,0,90,3,2.81,2.3,0,0,0,2,,hillad01,
2019-20,Cory Schneider,33,NJD,G,13,11,3,6,2,40,355,315,0.887,3.53,1,679.2666667,3,0.273,3,125,-7.9,3.8,1.2,0,1,1,0,,schneco01,
2019-20,Calvin Petersen,25,LAK,G,8,8,5,3,0,21,269,248,0.922,2.64,0,477.3666667,5,0.625,0,86,3.3,2.77,1.9,0,0,0,0,,peterca01,
2019-20,Jack Campbell,28,TOR,G,6,6,3,2,1,16,189,173,0.915,2.63,0,365.35,4,0.667,0,94,1.1,2.79,1.2,0,0,0,0,,campbja01,
2019-20,Keith Kinkaid,30,MTL,G,6,5,1,1,3,24,192,168,0.875,4.24,0,339.9833333,0,0,0,138,-6.6,4.59,0.4,0,0,0,0,,kinkake01,
2019-20,Charlie Lindgren,26,MTL,G,6,6,2,4,0,20,178,158,0.888,3.33,0,360.85,1,0.167,1,124,-3.9,3.49,0.6,0,0,0,0,,lindgch01,
2019-20,Kaapo Kahkonen,23,MIN,G,5,5,3,1,1,15,172,157,0.913,2.96,0,304.2,3,0.6,2,96,0.6,3.16,1,0,0,0,0,,kahkoka01,
2019-20,Jonas Johansson,24,BUF,G,6,5,1,3,1,16,151,135,0.894,2.94,0,326.7333333,1,0.2,0,117,-2.3,3.12,0.6,0,0,0,0,,johanjo03,
2019-20,Matiss Kivlenieks,23,CBJ,G,6,4,1,1,2,14,137,123,0.898,2.95,0,284.8333333,2,0.5,0,113,-1.6,3.16,0.6,0,0,0,0,,kivlema01,
2019-20,Alex Nedeljkovic,24,CAR,G,4,3,1,2,1,11,97,86,0.887,3.05,0,216.3166667,1,0.333,1,125,-2.2,3.33,0.3,0,0,0,0,,nedelal01,
2019-20,Robin Lehner,28,VEG,G,3,3,3,0,0,5,83,78,0.94,1.67,1,180,2,0.667,0,67,2.5,1.67,0.7,0,0,0,0,,lehnero01,
2019-20,Anton Forsberg,27,CAR,G,3,3,1,1,0,8,78,70,0.897,3.35,0,143.15,1,0.333,0,113,-0.9,3.77,0.3,0,0,0,0,,forsban01,
2019-20,Cayden Primeau,20,MTL,G,2,2,1,1,0,5,72,67,0.931,2.52,0,119.1,2,1,0,77,1.5,2.52,0.6,0,0,0,0,,primeca01,
2019-20,Alex Lyon,27,PHI,G,3,2,1,1,0,8,73,65,0.89,3.55,0,135.3166667,0,0,0,121,-1.4,3.99,0.3,0,0,0,0,,lyonal01,
2019-20,Calvin Pickard,27,DET,G,3,1,0,2,0,15,74,59,0.797,5.46,0,164.8833333,0,0,1,224,-8.3,5.82,-0.5,0,0,0,0,,pickaca01,
2019-20,Eric Comrie,24,DET,G,3,2,0,2,0,9,66,57,0.864,4.28,0,126.25,0,0,1,151,-3,4.75,0,0,0,0,0,,comrier01,
2019-20,Adam Werner,22,COL,G,2,1,1,1,0,5,58,53,0.914,3.42,0,87.83333333,0,0,1,95,0.2,3.42,0.4,0,0,0,0,,wernead01,
2019-20,Gilles Senn,23,NJD,G,2,1,0,1,0,4,41,37,0.902,3.42,0,70.08333333,1,1,0,108,-0.3,3.42,0.2,0,0,0,0,,senngi01,
2019-20,Antoine Bibeau,25,COL,G,2,1,1,0,0,5,42,37,0.881,3.27,0,91.75,0,0,0,132,-1.2,3.27,0.1,0,0,0,0,,bibeaan01,
2019-20,Anthony Stolarz,26,ANA,G,1,1,0,1,0,2,36,34,0.944,2.05,0,58.55,1,1,0,61,1.3,2.05,0.3,0,0,0,0,,sto,
2019-20,Kasimir Kaskisuo,26,TOR,G,1,1,0,1,0,6,38,32,0.842,6,0,60,0,0,1,175,-2.6,6,-0.1,0,0,0,0,,kaskika01,
2019-20,Oscar Dansk,25,VEG,G,1,1,0,1,0,6,37,31,0.838,6,0,60,0,0,1,179,-2.7,6,-0.1,0,0,0,0,,danskos01,
2019-20,Louis Domingue,27,VAN,G,1,1,0,1,0,4,34,30,0.882,4.08,0,58.78333333,0,0,0,130,-0.9,4.08,0.1,0,0,0,0,,dominlo01,
2019-20,Michael Hutchinson,29,COL,G,1,1,1,0,0,1,18,17,0.944,1,0,60,1,1,0,61,0.6,1,0.2,0,0,0,0,,hutchmi01,
2019-20,Garret Sparks,26,VEG,G,1,0,0,0,0,2,14,12,0.857,4.38,0,27.4,0,,0,158,-0.7,4.38,0,0,0,0,0,,sparkga01,
2019-20,David Ayres,42,CAR,G,1,0,1,0,0,2,10,8,0.8,4.18,0,28.68333333,0,,0,221,-1.1,4.18,-0.1,0,0,0,0,,ayresda01,
2019-20,Michael DiPietro,20,VAN,G,1,0,0,0,0,1,7,6,0.857,7.16,0,8.383333333,0,,0,158,-0.4,7.16,0,0,0,0,0,,dipiemi01,
2019-20,Malcolm Subban,26,CHI,G,1,0,0,0,0,0,0,0,,0,0,1.166666667,0,,0,,0,0,0,0,0,0,0,,subbama01,
2020-21,Connor Hellebuyck,27,WPG,G,45,45,24,17,3,112,1335,1223,0.916,2.58,4,2602.816667,25,0.556,6,91,11,2.81,9.1,0,0,0,0,"ASnhl-5, Hart-19, Vezina-4",helleco01,
2020-21,Andrei Vasilevskiy,26,TBL,G,42,42,31,10,1,93,1237,1144,0.925,2.21,5,2523.616667,24,0.571,0,82,21,2.4,9.6,0,4,4,0,"ASnhl-1, Hart-7, Vezina-2",vasilan02,
2020-21,Kevin Lankinen,25,CHI,G,37,37,17,14,5,109,1204,1095,0.909,3.01,2,2174.816667,19,0.514,5,98,1.9,3.31,7.3,0,2,2,2,"Byng-52, Calder-13",lankike01,
2020-21,Jordan Binnington,27,STL,G,42,41,18,14,8,108,1200,1092,0.91,2.65,0,2447.666667,21,0.512,5,98,2.6,2.89,7.3,0,1,1,2,,binnijo01,
2020-21,Thatcher Demko,25,VAN,G,35,35,16,18,1,99,1164,1065,0.915,2.85,1,2086.8,19,0.543,3,92,8.2,3.13,7.8,0,0,0,0,,demkoth01,
2020-21,Jacob Markstrom,31,CGY,G,43,43,22,19,2,111,1161,1050,0.904,2.66,3,2507.933333,23,0.535,8,104,-4,2.89,6.4,0,0,0,2,,marksja02,
2020-21,Tristan Jarry,25,PIT,G,39,38,25,9,3,100,1100,1000,0.909,2.75,2,2185.3,24,0.632,7,99,1.3,3.02,6.6,0,4,4,8,,jarrytr01,
2020-21,Calvin Petersen,26,LAK,G,35,32,9,18,5,97,1095,998,0.911,2.89,0,2015.85,16,0.5,3,96,3.9,3.15,6.9,0,1,1,0,,peterca01,
2020-21,Juuse Saros,25,NSH,G,36,35,21,11,1,78,1073,995,0.927,2.28,3,2051.8,22,0.629,5,79,20.9,2.49,8.6,0,0,0,2,"ASnhl-4, Hart-11, Vezina-6",sarosju01,
2020-21,Mackenzie Blackwood,24,NJD,G,35,35,14,17,4,106,1081,975,0.902,3.04,1,2090.616667,18,0.514,10,106,-6.4,3.33,5.7,0,0,0,0,,blackma01,
2020-21,Semyon Varlamov,32,NYI,G,36,35,19,11,4,72,1020,948,0.929,2.04,7,2116.933333,26,0.743,4,77,22,2.21,8.4,0,1,1,2,"ASnhl-6, Vezina-5",varlasi01,
2020-21,John Gibson,27,ANA,G,35,35,9,19,7,101,1042,941,0.903,2.98,3,2030.5,15,0.429,7,105,-5,3.28,5.6,0,0,0,2,,gibsojo02,
2020-21,Vitek Vanecek,25,WSH,G,37,36,21,10,4,95,1031,936,0.908,2.69,2,2115.483333,18,0.5,6,100,0,2.95,6.1,0,0,0,0,Calder-6,vanecvi01,
2020-21,Cam Talbot,33,MIN,G,33,33,19,8,5,86,1008,922,0.915,2.63,2,1961.45,21,0.636,2,93,6.9,2.88,6.7,0,0,0,0,,talboca01,
2020-21,Marc-Andre Fleury,36,VEG,G,36,36,26,10,0,71,989,918,0.928,1.98,6,2146.6,26,0.722,3,78,20.1,2.15,8,0,1,1,2,"ASnhl-2, Byng-21, Jennings-1, Vezina-1",fleurma01,
2020-21,Philipp Grubauer,29,COL,G,40,39,30,9,1,77,993,916,0.922,1.95,7,2366.866667,26,0.667,5,84,14.5,2.13,7.4,0,2,2,0,"ASnhl-3, Byng-46, Vezina-3",grubaph01,
2020-21,Igor Shesterkin,25,NYR,G,35,31,16,14,3,83,987,904,0.916,2.62,2,1899.016667,20,0.645,2,91,7.9,2.88,6.7,0,0,0,0,Calder-5,shestig01,
2020-21,Martin Jones,31,SJS,G,34,34,15,13,4,102,980,878,0.896,3.28,1,1868.416667,15,0.441,12,113,-11.7,3.6,4.5,0,0,0,0,,jonesma02,
2020-21,Mike Smith,38,EDM,G,32,30,21,6,2,71,921,850,0.923,2.31,3,1846.55,19,0.633,3,84,13.9,2.53,6.9,0,2,2,6,"ASnhl-7, Vezina-7",smithmi01,
2020-21,Sergei Bobrovsky,32,FLA,G,31,30,19,8,2,88,935,847,0.906,2.91,0,1816.466667,16,0.533,4,102,-1.9,3.17,5.3,0,0,0,0,,bobrose01,
2020-21,Thomas Greiss,35,DET,G,34,29,8,15,8,79,894,815,0.912,2.7,2,1755.15,17,0.586,4,96,3.4,2.94,5.6,0,0,0,2,,greisth01,
2020-21,Joonas Korpisalo,26,CBJ,G,33,31,9,13,7,96,904,808,0.894,3.3,0,1747.433333,13,0.419,8,115,-12.7,3.61,3.9,0,1,1,2,,korpijo01,
2020-21,Elvis Merzlikins,26,CBJ,G,28,23,8,12,5,69,825,756,0.916,2.77,2,1496.816667,14,0.609,2,91,7,3.05,5.6,0,1,1,0,,merzlel01,
2020-21,Jake Allen,30,MTL,G,29,27,11,12,5,76,817,741,0.907,2.68,0,1702.6,12,0.444,2,101,-0.7,2.92,4.7,0,0,0,2,,allenja01,
2020-21,Anton Khudobin,34,DAL,G,32,32,12,11,7,76,799,723,0.905,2.54,3,1794.616667,17,0.531,8,103,-2.4,2.77,4.4,0,2,2,2,,khudoan01,
2020-21,Jonathan Bernier,32,DET,G,24,23,9,11,1,65,757,692,0.914,2.99,0,1306.45,15,0.652,4,93,4.7,3.26,5,0,0,0,0,,bernijo01,
2020-21,Mikko Koskinen,32,EDM,G,26,25,13,13,0,76,756,680,0.899,3.17,0,1437.65,12,0.48,4,109,-6.3,3.46,3.8,0,2,2,0,,koskimi01,
2020-21,Matt Murray,26,OTT,G,27,25,10,13,1,79,738,659,0.893,3.38,2,1404.183333,14,0.56,8,116,-11,3.72,3.1,0,1,1,2,,murrama02,
2020-21,Brian Elliott,35,PHI,G,30,26,15,9,2,82,738,656,0.889,3.06,2,1607.716667,12,0.462,8,121,-14,3.36,2.8,0,1,1,0,,elliobr01,
2020-21,Jake Oettinger,22,DAL,G,29,24,11,8,7,63,710,647,0.911,2.36,1,1604.133333,12,0.5,3,96,2.4,2.58,4.4,0,1,1,4,,oettija01,
2020-21,Darcy Kuemper,30,ARI,G,27,27,10,11,3,66,710,644,0.907,2.56,2,1546.616667,15,0.556,3,101,-0.6,2.79,4.1,0,0,0,4,,kuempda01,
2020-21,Carter Hart,22,PHI,G,27,25,9,11,5,89,721,632,0.877,3.67,1,1456.316667,9,0.36,8,134,-22.6,4.04,1.8,0,0,0,2,,hartca01,
2020-21,Kaapo Kahkonen,24,MIN,G,24,23,16,8,0,68,692,624,0.902,2.88,2,1414.466667,10,0.435,3,107,-4.2,3.18,3.6,0,0,0,2,Calder-15,kahkoka01,
2020-21,Braden Holtby,31,VAN,G,21,21,7,11,3,77,695,618,0.889,3.67,0,1260.483333,7,0.333,5,120,-13,4.05,2.7,0,1,1,0,,holtbbr01,
2020-21,Alex Nedeljkovic,25,CAR,G,23,23,15,5,3,44,648,604,0.932,1.9,3,1392.033333,15,0.652,0,74,15.7,2.07,5.5,0,1,1,2,"AR-1, Calder-3",nedelal01,
2020-21,Pekka Rinne,38,NSH,G,24,21,10,12,1,62,664,602,0.907,2.84,2,1310.483333,12,0.571,3,101,-0.8,3.11,3.8,0,1,1,0,Clancy-1,rinnepe01,
2020-21,Frederik Andersen,31,TOR,G,24,23,13,8,3,70,668,598,0.895,2.96,0,1420.116667,9,0.391,6,114,-8.5,3.25,3,0,1,1,0,,anderfr01,
2020-21,Carey Price,33,MTL,G,25,25,12,7,5,65,659,594,0.901,2.64,1,1478.75,14,0.56,6,107,-4.3,2.88,3.4,0,0,0,0,,priceca01,
2020-21,Chris Driedger,26,FLA,G,23,23,14,6,3,47,640,593,0.927,2.07,3,1361.6,15,0.652,3,80,12,2.25,5.1,0,2,2,0,,driedch01,
2020-21,James Reimer,32,CAR,G,22,21,15,5,2,59,627,568,0.906,2.66,0,1331.1,10,0.476,1,102,-1.2,2.93,3.6,0,0,0,0,,reimeja01,
2020-21,Tuukka Rask,33,BOS,G,24,24,15,5,2,53,611,558,0.913,2.28,2,1396.45,16,0.667,5,94,3.3,2.49,4,0,2,2,0,,rasktu01,
2020-21,Linus Ullmark,27,BUF,G,20,20,9,6,3,49,591,542,0.917,2.63,0,1117.083333,11,0.55,0,90,5.4,2.9,4.1,0,0,0,0,,ullmali01,
2020-21,Jack Campbell,29,TOR,G,22,22,17,3,2,46,585,539,0.921,2.15,2,1284.4,13,0.591,2,85,7.9,2.34,4.3,0,0,0,0,Byng-38,campbja01,
2020-21,Devan Dubnyk,34,2TM,G,22,18,6,11,2,63,602,539,0.895,3.2,1,1182.366667,8,0.444,4,114,-7.5,3.55,2.7,0,0,0,2,,dubnyde01,
2020-21,Ilya Sorokin,25,NYI,G,22,21,13,6,3,46,563,517,0.918,2.17,3,1271.783333,15,0.714,3,89,5.9,2.36,4,0,0,0,0,Calder-15,sorokil01,
2020-21,Jonathan Quick,35,LAK,G,22,22,11,9,2,58,566,508,0.898,2.86,2,1218.816667,10,0.455,4,111,-5.9,3.15,2.7,0,0,0,0,,quickjo01,
2020-21,Casey DeSmith,29,PIT,G,20,17,11,7,0,48,543,495,0.912,2.54,2,1132.316667,9,0.529,2,96,2,2.81,3.4,0,1,1,0,,desmica01,
2020-21,Adin Hill,24,ARI,G,19,17,9,9,1,46,530,484,0.913,2.74,2,1005.9,8,0.471,2,94,2.8,2.98,3.4,0,0,0,0,,hillad01,
2020-21,Robin Lehner,29,VEG,G,19,19,13,4,2,44,505,461,0.913,2.29,1,1155.316667,12,0.632,4,95,2.5,2.49,3.2,0,1,1,0,Jennings-1,lehnero01,
2020-21,Ilya Samsonov,23,WSH,G,19,18,13,4,1,49,499,450,0.902,2.69,2,1092.816667,7,0.389,3,107,-3,2.96,2.6,0,1,1,0,,samsoil01,
2020-21,Jaroslav Halak,35,BOS,G,19,17,9,6,4,46,482,436,0.905,2.53,2,1090.016667,9,0.529,3,104,-1.6,2.75,2.7,0,0,0,0,,halakja01,
2020-21,Malcolm Subban,27,CHI,G,16,14,6,8,1,47,471,424,0.9,3.2,2,881.2833333,6,0.429,4,108,-3.6,3.54,2.4,0,0,0,0,,subbama01,
2020-21,Alexandar Georgiev,24,NYR,G,19,18,8,7,2,44,465,421,0.905,2.71,2,973.9333333,9,0.5,3,103,-1.2,2.96,2.6,0,1,1,0,,georgal01,
2020-21,David Rittich,28,2TM,G,19,15,5,8,2,46,463,417,0.901,2.86,1,965.7666667,7,0.467,3,108,-3.3,3.11,2.4,0,0,0,0,,rittida01,
2020-21,Devan Dubnyk,34,SJS,G,17,13,3,9,2,47,462,415,0.898,3.18,1,887.7333333,6,0.462,3,110,-4.4,3.51,2.2,0,0,0,2,,dubnyde01,
2020-21,Scott Wedgewood,28,NJD,G,16,15,3,8,3,46,458,412,0.9,3.11,2,888.0333333,5,0.333,4,109,-3.8,3.38,2.3,0,0,0,0,,wedgesc01,
2020-21,Ville Husso,25,STL,G,17,15,9,6,1,49,460,411,0.893,3.21,1,917.3166667,7,0.467,2,116,-6.6,3.53,2,0,0,0,4,,hussovi01,
2020-21,Dustin Tokarski,31,BUF,G,13,10,2,8,2,43,447,404,0.904,3.54,0,729.4333333,5,0.5,1,104,-1.8,3.87,2.4,0,1,1,0,,tokardu01,
2020-21,Ryan Miller,40,ANA,G,16,14,4,8,2,51,432,381,0.882,3.51,0,870.9166667,5,0.357,4,128,-11.2,3.86,1.3,0,0,0,0,,millery01,
2020-21,Antti Raanta,31,ARI,G,12,11,5,5,2,38,401,363,0.905,3.36,0,678.8333333,6,0.545,2,103,-1.1,3.71,2.2,0,0,0,0,,raantan01,
2020-21,Jonas Johansson,25,2TM,G,15,13,5,6,2,39,380,341,0.897,2.86,1,816.8333333,6,0.462,2,111,-4,3.09,1.8,0,0,0,0,,johanjo03,
2020-21,Laurent Brossoit,27,WPG,G,14,11,6,6,0,30,368,338,0.918,2.42,1,744.1166667,7,0.636,0,88,3.9,2.66,2.6,0,0,0,0,,brossla01,
2020-21,David Rittich,28,CGY,G,15,12,4,7,1,36,374,338,0.904,2.9,1,745.0833333,6,0.5,2,104,-1.5,3.14,2,0,0,0,0,,rittida01,
2020-21,Carter Hutton,35,BUF,G,13,12,1,10,1,39,341,302,0.886,3.47,0,674.7166667,6,0.5,4,124,-7.6,3.82,1.2,0,0,0,0,,huttoca01,
2020-21,Marcus Hogberg,26,OTT,G,14,10,4,7,0,40,322,282,0.876,3.74,0,641.85,3,0.3,3,135,-10.3,4.11,0.8,0,0,0,0,,hogbema01,
2020-21,Petr Mrazek,28,CAR,G,12,12,6,2,3,23,298,275,0.923,2.06,3,670.9833333,7,0.583,1,84,4.5,2.24,2.2,0,0,0,0,,mrazepe01,
2020-21,Curtis McElhinney,37,TBL,G,12,12,4,6,2,37,296,259,0.875,3.09,1,719.3166667,5,0.417,4,136,-9.7,3.42,0.7,0,0,0,2,,mcelhcu01,
2020-21,Jeremy Swayman,22,BOS,G,10,10,7,3,0,15,271,256,0.945,1.5,2,601.7166667,9,0.9,0,60,10,1.6,2.7,0,0,0,0,,swaymje01,
2020-21,Anton Forsberg,28,OTT,G,8,8,3,4,1,24,264,240,0.909,3.21,0,448.55,6,0.75,1,99,0.3,3.48,1.6,0,0,0,0,,forsban01,
2020-21,Filip Gustavsson,22,OTT,G,9,7,5,1,2,17,254,237,0.933,2.16,0,471.5666667,6,0.857,0,73,6.4,2.42,2.2,0,0,0,0,,gustafi01,
2020-21,Josef Korenar,23,SJS,G,10,7,3,5,0,26,258,232,0.899,3.17,0,491.8333333,3,0.429,1,109,-2.2,3.42,1.3,0,0,0,0,,korenjo01,
2020-21,Anthony Stolarz,27,ANA,G,8,7,4,3,0,17,230,213,0.926,2.2,1,464.3,5,0.714,1,80,4.2,2.46,1.8,0,1,1,0,,stolaan01,
2020-21,Michael Hutchinson,30,TOR,G,8,8,4,2,1,17,211,194,0.919,2.42,1,421.8666667,5,0.625,1,87,2.4,2.7,1.5,0,0,0,0,,hutchmi01,
2020-21,Joey Daccord,24,OTT,G,8,6,1,3,1,22,214,192,0.897,3.27,0,403.3666667,3,0.5,1,112,-2.3,3.57,1,0,0,0,0,,daccojo01,
2020-21,Collin Delia,26,CHI,G,6,5,1,3,1,20,205,185,0.902,3.59,0,334.4833333,1,0.2,1,106,-1.1,3.95,1.1,0,0,0,0,,deliaco01,
