Season,Player,PlayerID,TeamID,Position,GP,G,A,PTS,SOG,S%,HIT,BLK,TOI,SAtt,PIM,EVG,PPG,SHG,EVA,PPA,SHA,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP,SAtt_GP,PIM_GP
2024-25,Oskar Sundqvist,sundqos01,STL,F,13,2,0,2,4,0.5,23,11,155.4166667,106,10,1,1,0,0,0,0,0.153846154,0,0.153846154,0.307692308,1.769230769,0.846153846,11.95512821,8.153846154,0.769230769
2024-25,Maveric Lamoureux,lamouma01,ARI,D,14,1,2,3,15,0.066666667,17,9,226.9166667,216,40,1,0,0,2,0,0,0.071428571,0.142857143,0.214285714,1.071428571,1.214285714,0.642857143,16.20833333,15.42857143,2.857142857
2024-25,Cole Reinhardt,reinhco01,OTT,F,2,0,1,1,3,0,5,2,14.08333333,11,0,0,0,0,1,0,0,0,0.5,0.5,1.5,2.5,1,7.041666667,5.5,0
2024-25,Philippe Myers,myersph01,TOR,D,1,0,0,0,0,0,1,0,12.18333333,8,0,0,0,0,0,0,0,0,0,0,0,1,0,12.18333333,8,0
2024-25,Yegor Sharangovich,sharaye01,CGY,F,14,4,1,5,42,0.095238095,4,5,262.6833333,302,0,1,3,0,1,0,0,0.285714286,0.071428571,0.357142857,3,0.285714286,0.357142857,18.76309524,21.57142857,0
2024-25,Joel Hanley,hanlejo01,CGY,D,3,0,0,0,3,0,6,4,37.78333333,46,0,0,0,0,0,0,0,0,0,0,1,2,1.333333333,12.59444444,15.33333333,0
2024-25,Nick Bjugstad,bjugsni01,ARI,F,13,4,2,6,19,0.210526316,21,7,170.9,163,4,3,1,0,2,0,0,0.307692308,0.153846154,0.461538462,1.461538462,1.615384615,0.538461538,13.14615385,12.53846154,0.307692308
2024-25,Dennis Cholowski,cholode01,NYI,D,13,2,2,4,11,0.181818182,1,11,149.9166667,132,2,2,0,0,2,0,0,0.153846154,0.153846154,0.307692308,0.846153846,0.076923077,0.846153846,11.53205128,10.15384615,0.153846154
2024-25,Pierre Engvall,engvapi01,NYI,F,13,3,2,5,24,0.125,6,2,172.7,139,8,3,0,0,2,0,0,0.230769231,0.153846154,0.384615385,1.846153846,0.461538462,0.153846154,13.28461538,10.69230769,0.615384615
2024-25,Matt Martin,martima02,NYI,F,10,0,1,1,5,0,20,7,74.36666667,46,5,0,0,0,1,0,0,0,0.1,0.1,0.5,2,0.7,7.436666667,4.6,0.5
2024-25,William Karlsson,karlswi01,VEG,F,13,4,6,10,31,0.129032258,6,13,208.2666667,212,0,3,0,1,4,2,0,0.307692308,0.461538462,0.769230769,2.384615385,0.461538462,1,16.02051282,16.30769231,0
2024-25,Emil Andrae,andraem01,PHI,D,11,0,3,3,15,0,16,13,208.5833333,209,8,0,0,0,2,1,0,0,0.272727273,0.272727273,1.363636364,1.454545455,1.181818182,18.96212121,19,0.727272727
2024-25,Hudson Fasching,faschhu01,NYI,F,5,0,0,0,0,0,1,2,34.13333333,25,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,6.826666667,5,0
