Season,Player,PlayerID,TeamID,Position,GP,G,A,PTS,SOG,S%,HIT,BLK,TOI,SAtt,PIM,EVG,PPG,SHG,EVA,PPA,SHA,G_GP,A_GP,PTS_GP,SOG_GP,HIT_GP,BLK_GP,TOI_GP,SAtt_GP,PIM_GP
2024-25,Shane Bowers,bowersh01,NJD,F,1,0,0,0,0,0,1,1,8.583333333,5,0,0,0,0,0,0,0,0,0,0,0,1,1,8.583333333,5,0
2024-25,Devin Shore,shorede01,MIN,F,2,0,0,0,0,0,0,2,14.58333333,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7.291666667,1.5,0
2024-25,Louis Crevier,crevilo01,CHI,D,1,0,0,0,0,0,3,2,17.45,19,0,0,0,0,0,0,0,0,0,0,0,3,2,17.45,19,0
2024-25,Travis Boyd,boydtr01,MIN,F,1,0,0,0,0,0,0,0,8.383333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.383333333,2,0
2024-25,Max Sasson,sassoma01,VAN,F,1,0,1,1,0,0,2,0,7.816666667,3,0,0,0,0,1,0,0,0,1,1,0,2,0,7.816666667,3,0
2024-25,Nolan Foote,footeno01,NJD,F,1,0,0,0,0,0,1,0,9.733333333,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9.733333333,3,0
2024-25,Ivan Miroshnichenko,mirosiv01,WSH,F,1,0,0,0,0,0,1,0,8.933333333,10,0,0,0,0,0,0,0,0,0,0,0,1,0,8.933333333,10,0
2024-25,Fedor Svechkov,svechfe01,NSH,F,1,0,0,0,0,0,1,0,7.566666667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.566666667,1,0
2024-25,Isak Rosen,rosenis01,BUF,F,1,0,0,0,0,0,0,0,6.483333333,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.483333333,5,0
2024-25,Alexander Nylander,nylanal01,TOR,F,1,0,0,0,2,0,0,0,10.61666667,17,0,0,0,0,0,0,0,0,0,0,2,0,0,10.61666667,17,0
