Season,Date,Game,GameID,Home,HomeID,G,Away,AwayID,GA
2024-25,11/13/2024,PIT vs DET,202411130PIT,Pittsburgh Penguins,PIT,2,Detroit Red Wings,DET,3
2024-25,11/13/2024,WSH vs TOR,202411130WSH,Washington Capitals,WSH,3,Toronto Maple Leafs,TOR,4
2024-25,11/13/2024,ARI vs CAR,202411130UTA,Arizona Coyotes,ARI,4,Carolina Hurricanes,CAR,1
2024-25,11/13/2024,COL vs LAK,202411130COL,Colorado Avalanche,COL,4,Los Angeles Kings,LAK,2
2024-25,11/13/2024,ANA vs VEG,202411130ANA,Anaheim Ducks,ANA,2,Vegas Golden Knights,VEG,3
2024-25,11/12/2024,TOR vs OTT,202411120TOR,Toronto Maple Leafs,TOR,0,Ottawa Senators,OTT,3
2024-25,11/12/2024,FLA vs NJD,202411120FLA,Florida Panthers,FLA,1,New Jersey Devils,NJD,4
2024-25,11/12/2024,NYR vs WPG,202411120NYR,New York Rangers,NYR,3,Winnipeg Jets,WPG,6
2024-25,11/12/2024,STL vs BOS,202411120STL,St. Louis Blues,STL,2,Boston Bruins,BOS,3
2024-25,11/12/2024,EDM vs NYI,202411120EDM,Edmonton Oilers,EDM,4,New York Islanders,NYI,3
2024-25,11/12/2024,VAN vs CGY,202411120VAN,Vancouver Canucks,VAN,3,Calgary Flames,CGY,1
2024-25,11/12/2024,SEA vs CBJ,202411120SEA,Seattle Kraken,SEA,5,Columbus Blue Jackets,CBJ,2
2024-25,11/11/2024,BUF vs MTL,202411110BUF,Buffalo Sabres,BUF,5,Montreal Canadiens,MTL,7
2024-25,11/11/2024,PHI vs SJS,202411110PHI,Philadelphia Flyers,PHI,3,San Jose Sharks,SJS,3
2024-25,11/11/2024,PIT vs DAL,202411110PIT,Pittsburgh Penguins,PIT,1,Dallas Stars,DAL,7
2024-25,11/11/2024,CGY vs LAK,202411110CGY,Calgary Flames,CGY,3,Los Angeles Kings,LAK,1
2024-25,11/11/2024,COL vs NSH,202411110COL,Colorado Avalanche,COL,3,Nashville Predators,NSH,2
2024-25,11/11/2024,VEG vs CAR,202411110VEG,Vegas Golden Knights,VEG,2,Carolina Hurricanes,CAR,5
2024-25,11/10/2024,NJD vs SJS,202411100NJD,New Jersey Devils,NJD,0,San Jose Sharks,SJS,1
2024-25,11/10/2024,CHI vs MIN,202411100CHI,Chicago Blackhawks,CHI,2,Minnesota Wild,MIN,1
2024-25,11/10/2024,ANA vs CBJ,202411100ANA,Anaheim Ducks,ANA,4,Columbus Blue Jackets,CBJ,2
2024-25,11/9/2024,BUF vs CGY,202411090BUF,Buffalo Sabres,BUF,2,Calgary Flames,CGY,2
2024-25,11/9/2024,FLA vs PHI,202411090FLA,Florida Panthers,FLA,3,Philadelphia Flyers,PHI,3
2024-25,11/9/2024,BOS vs OTT,202411090BOS,Boston Bruins,BOS,2,Ottawa Senators,OTT,3
2024-25,11/9/2024,TOR vs MTL,202411090TOR,Toronto Maple Leafs,TOR,4,Montreal Canadiens,MTL,1
2024-25,11/9/2024,DET vs NYR,202411090DET,Detroit Red Wings,DET,0,New York Rangers,NYR,4
2024-25,11/9/2024,STL vs WSH,202411090STL,St. Louis Blues,STL,1,Washington Capitals,WSH,8
2024-25,11/9/2024,WPG vs DAL,202411090WPG,Winnipeg Jets,WPG,4,Dallas Stars,DAL,1
2024-25,11/9/2024,NYI vs NJD,202411090NYI,New York Islanders,NYI,3,New Jersey Devils,NJD,4
2024-25,11/9/2024,COL vs CAR,202411090COL,Colorado Avalanche,COL,6,Carolina Hurricanes,CAR,4
2024-25,11/9/2024,LAK vs CBJ,202411090LAK,Los Angeles Kings,LAK,5,Columbus Blue Jackets,CBJ,2
2024-25,11/9/2024,VAN vs EDM,202411090VAN,Vancouver Canucks,VAN,3,Edmonton Oilers,EDM,7
2024-25,11/9/2024,NSH vs ARI,202411090NSH,Nashville Predators,NSH,4,Arizona Coyotes,ARI,0
2024-25,11/8/2024,TOR vs DET,202411080TOR,Toronto Maple Leafs,TOR,3,Detroit Red Wings,DET,1
2024-25,11/8/2024,WSH vs PIT,202411080WSH,Washington Capitals,WSH,2,Pittsburgh Penguins,PIT,4
2024-25,11/8/2024,ANA vs MIN,202411080ANA,Anaheim Ducks,ANA,2,Minnesota Wild,MIN,5
2024-25,11/8/2024,SEA vs VEG,202411080SEA,Seattle Kraken,SEA,4,Vegas Golden Knights,VEG,3
2024-25,11/7/2024,BOS vs CGY,202411070BOS,Boston Bruins,BOS,4,Calgary Flames,CGY,3
2024-25,11/7/2024,OTT vs NYI,202411070OTT,Ottawa Senators,OTT,2,New York Islanders,NYI,4
2024-25,11/7/2024,TBL vs PHI,202411070TBL,Tampa Bay Lightning,TBL,1,Philadelphia Flyers,PHI,1
2024-25,11/7/2024,FLA vs NSH,202411070FLA,Florida Panthers,FLA,6,Nashville Predators,NSH,2
2024-25,11/7/2024,NJD vs MTL,202411070NJD,New Jersey Devils,NJD,5,Montreal Canadiens,MTL,3
2024-25,11/7/2024,NYR vs BUF,202411070NYR,New York Rangers,NYR,1,Buffalo Sabres,BUF,6
2024-25,11/7/2024,CAR vs PIT,202411070CAR,Carolina Hurricanes,CAR,5,Pittsburgh Penguins,PIT,1
2024-25,11/7/2024,STL vs UTA,202411070STL,St. Louis Blues,STL,2,Arizona Coyotes,ARI,4
2024-25,11/7/2024,DAL vs CHI,202411070DAL,Dallas Stars,DAL,3,Chicago Blackhawks,CHI,1
2024-25,11/7/2024,WPG vs COL,202411070WPG,Winnipeg Jets,WPG,1,Colorado Avalanche,COL,0
2024-25,11/7/2024,LAK vs VAN,202411070LAK,Los Angeles Kings,LAK,2,Vancouver Canucks,VAN,4
2024-25,11/7/2024,SJS vs MIN,202411070SJS,San Jose Sharks,SJS,2,Minnesota Wild,MIN,5
2024-25,11/6/2024,WSH vs NSH,202411060WSH,Washington Capitals,WSH,3,Nashville Predators,NSH,2
2024-25,11/6/2024,CHI vs DET,202411060CHI,Chicago Blackhawks,CHI,1,Detroit Red Wings,DET,4
2024-25,11/6/2024,EDM vs VEG,202411060EDM,Edmonton Oilers,EDM,2,Vegas Golden Knights,VEG,4
2024-25,11/5/2024,BUF vs OTT,202411050BUF,Buffalo Sabres,BUF,5,Ottawa Senators,OTT,1
2024-25,11/5/2024,TOR vs BOS,202411050TOR,Toronto Maple Leafs,TOR,4,Boston Bruins,BOS,0
2024-25,11/5/2024,MTL vs CGY,202411050MTL,Montreal Canadiens,MTL,2,Calgary Flames,CGY,3
2024-25,11/5/2024,CAR vs PHI,202411050CAR,Carolina Hurricanes,CAR,6,Philadelphia Flyers,PHI,4
2024-25,11/5/2024,NYI vs PIT,202411050NYI,New York Islanders,NYI,3,Pittsburgh Penguins,PIT,3
2024-25,11/5/2024,STL vs TBL,202411050STL,St. Louis Blues,STL,3,Tampa Bay Lightning,TBL,2
2024-25,11/5/2024,MIN vs LAK,202411050MIN,Minnesota Wild,MIN,1,Los Angeles Kings,LAK,5
2024-25,11/5/2024,WPG vs ARI,202411050WPG,Winnipeg Jets,WPG,3,Arizona Coyotes,ARI,0
2024-25,11/5/2024,COL vs SEA,202411050COL,Colorado Avalanche,COL,6,Seattle Kraken,SEA,3
2024-25,11/5/2024,ANA vs VAN,202411050ANA,Anaheim Ducks,ANA,1,Vancouver Canucks,VAN,5
2024-25,11/5/2024,SJS vs CBJ,202411050SJS,San Jose Sharks,SJS,2,Columbus Blue Jackets,CBJ,1
2024-25,11/4/2024,EDM vs NJD,202411040EDM,Edmonton Oilers,EDM,0,New Jersey Devils,NJD,3
2024-25,11/4/2024,NSH vs LAK,202411040NSH,Nashville Predators,NSH,0,Los Angeles Kings,LAK,3
2024-25,11/3/2024,CAR vs WSH,202411030CAR,Carolina Hurricanes,CAR,4,Washington Capitals,WSH,2
2024-25,11/3/2024,ANA vs CHI,202411030ANA,Anaheim Ducks,ANA,2,Chicago Blackhawks,CHI,4
2024-25,11/3/2024,CGY vs EDM,202411030CGY,Calgary Flames,CGY,2,Edmonton Oilers,EDM,4
2024-25,11/3/2024,WPG vs TBL,202411030WPG,Winnipeg Jets,WPG,7,Tampa Bay Lightning,TBL,4
2024-25,11/3/2024,NYR vs NYI,202411030NYR,New York Rangers,NYR,5,New York Islanders,NYI,2
2024-25,11/3/2024,BOS vs SEA,202411030BOS,Boston Bruins,BOS,2,Seattle Kraken,SEA,0
2024-25,11/3/2024,MIN vs TOR,202411030MIN,Minnesota Wild,MIN,2,Toronto Maple Leafs,TOR,1
2024-25,11/2/2024,PIT vs MTL,202411020PIT,Pittsburgh Penguins,PIT,3,Montreal Canadiens,MTL,1
2024-25,11/2/2024,LAK vs CHI,202411020LAK,Los Angeles Kings,LAK,3,Chicago Blackhawks,CHI,3
2024-25,11/2/2024,OTT vs SEA,202411020OTT,Ottawa Senators,OTT,3,Seattle Kraken,SEA,0
2024-25,11/2/2024,SJS vs VAN,202411020SJS,San Jose Sharks,SJS,2,Vancouver Canucks,VAN,3
2024-25,11/2/2024,PHI vs BOS,202411020PHI,Philadelphia Flyers,PHI,0,Boston Bruins,BOS,3
2024-25,11/2/2024,NSH vs COL,202411020NSH,Nashville Predators,NSH,5,Colorado Avalanche,COL,2
2024-25,11/2/2024,WSH vs CBJ,202411020WSH,Washington Capitals,WSH,7,Columbus Blue Jackets,CBJ,2
2024-25,11/2/2024,DET vs BUF,202411020DET,Detroit Red Wings,DET,2,Buffalo Sabres,BUF,1
2024-25,11/2/2024,FLA vs DAL,202411020FLA,Florida Panthers,FLA,4,Dallas Stars,DAL,2
2024-25,11/2/2024,VEG vs ARI,202411020VEG,Vegas Golden Knights,VEG,4,Arizona Coyotes,ARI,3
2024-25,11/2/2024,STL vs TOR,202411020STL,St. Louis Blues,STL,4,Toronto Maple Leafs,TOR,2
2024-25,11/1/2024,CGY vs NJD,202411010CGY,Calgary Flames,CGY,3,New Jersey Devils,NJD,0
2024-25,11/1/2024,NYR vs OTT,202411010NYR,New York Rangers,NYR,2,Ottawa Senators,OTT,1
2024-25,11/1/2024,CBJ vs WPG,202411010CBJ,Columbus Blue Jackets,CBJ,2,Winnipeg Jets,WPG,6
2024-25,11/1/2024,MIN vs TBL,202411010MIN,Minnesota Wild,MIN,5,Tampa Bay Lightning,TBL,3
2024-25,11/1/2024,BUF vs NYI,202411010BUF,Buffalo Sabres,BUF,3,New York Islanders,NYI,4
2024-25,11/1/2024,DAL vs FLA,202411010DAL,Dallas Stars,DAL,4,Florida Panthers,FLA,6
2024-25,10/31/2024,NSH vs EDM,202410310NSH,Nashville Predators,NSH,1,Edmonton Oilers,EDM,5
2024-25,10/31/2024,TOR vs SEA,202410310TOR,Toronto Maple Leafs,TOR,4,Seattle Kraken,SEA,1
2024-25,10/31/2024,PHI vs STL,202410310PHI,Philadelphia Flyers,PHI,2,St. Louis Blues,STL,1
2024-25,10/31/2024,PIT vs ANA,202410310PIT,Pittsburgh Penguins,PIT,2,Anaheim Ducks,ANA,1
2024-25,10/31/2024,WSH vs MTL,202410310WSH,Washington Capitals,WSH,6,Montreal Canadiens,MTL,3
2024-25,10/31/2024,CAR vs BOS,202410310CAR,Carolina Hurricanes,CAR,8,Boston Bruins,BOS,2
2024-25,10/31/2024,SJS vs CHI,202410310SJS,San Jose Sharks,SJS,3,Chicago Blackhawks,CHI,2
2024-25,10/30/2024,DET vs WPG,202410300DET,Detroit Red Wings,DET,2,Winnipeg Jets,WPG,6
2024-25,10/30/2024,COL vs TBL,202410300COL,Colorado Avalanche,COL,2,Tampa Bay Lightning,TBL,5
2024-25,10/30/2024,VAN vs NJD,202410300VAN,Vancouver Canucks,VAN,0,New Jersey Devils,NJD,6
2024-25,10/30/2024,CBJ vs NYI,202410300CBJ,Columbus Blue Jackets,CBJ,2,New York Islanders,NYI,0
2024-25,10/30/2024,ARI vs CGY,202410300UTA,Arizona Coyotes,ARI,5,Calgary Flames,CGY,1
2024-25,10/30/2024,LAK vs VEG,202410300LAK,Los Angeles Kings,LAK,6,Vegas Golden Knights,VEG,3
2024-25,10/29/2024,BOS vs PHI,202410290BOS,Boston Bruins,BOS,0,Philadelphia Flyers,PHI,2
2024-25,10/29/2024,MTL vs SEA,202410290MTL,Montreal Canadiens,MTL,2,Seattle Kraken,SEA,8
2024-25,10/29/2024,NYI vs ANA,202410290NYI,New York Islanders,NYI,1,Anaheim Ducks,ANA,3
2024-25,10/29/2024,PIT vs MIN,202410290PIT,Pittsburgh Penguins,PIT,3,Minnesota Wild,MIN,5
2024-25,10/29/2024,OTT vs STL,202410290OTT,Ottawa Senators,OTT,8,St. Louis Blues,STL,1
2024-25,10/29/2024,SJS vs LAK,202410290SJS,San Jose Sharks,SJS,4,Los Angeles Kings,LAK,2
2024-25,10/29/2024,WSH vs NYR,202410290WSH,Washington Capitals,WSH,5,New York Rangers,NYR,3
2024-25,10/28/2024,BUF vs FLA,202410280BUF,Buffalo Sabres,BUF,2,Florida Panthers,FLA,5
2024-25,10/28/2024,ARI vs SJS,202410280UTA,Arizona Coyotes,ARI,4,San Jose Sharks,SJS,5
2024-25,10/28/2024,COL vs CHI,202410280COL,Colorado Avalanche,COL,2,Chicago Blackhawks,CHI,5
2024-25,10/28/2024,VAN vs CAR,202410280VAN,Vancouver Canucks,VAN,3,Carolina Hurricanes,CAR,4
2024-25,10/28/2024,WPG vs TOR,202410280WPG,Winnipeg Jets,WPG,4,Toronto Maple Leafs,TOR,6
2024-25,10/28/2024,CBJ vs EDM,202410280CBJ,Columbus Blue Jackets,CBJ,6,Edmonton Oilers,EDM,1
2024-25,10/28/2024,TBL vs NSH,202410280TBL,Tampa Bay Lightning,TBL,3,Nashville Predators,NSH,2
2024-25,10/28/2024,VEG vs CGY,202410280VEG,Vegas Golden Knights,VEG,5,Calgary Flames,CGY,0
2024-25,10/27/2024,DET vs EDM,202410270DET,Detroit Red Wings,DET,2,Edmonton Oilers,EDM,3
2024-25,10/27/2024,PHI vs MTL,202410270PHI,Philadelphia Flyers,PHI,3,Montreal Canadiens,MTL,4
2024-25,10/27/2024,COL vs OTT,202410270COL,Colorado Avalanche,COL,5,Ottawa Senators,OTT,4
2024-25,10/27/2024,NJD vs ANA,202410270NJD,New Jersey Devils,NJD,6,Anaheim Ducks,ANA,2
2024-25,10/26/2024,CGY vs WPG,202410260CGY,Calgary Flames,CGY,3,Winnipeg Jets,WPG,5
2024-25,10/26/2024,NYI vs FLA,202410260NYI,New York Islanders,NYI,3,Florida Panthers,FLA,6
2024-25,10/26/2024,SEA vs CAR,202410260SEA,Seattle Kraken,SEA,1,Carolina Hurricanes,CAR,4
2024-25,10/26/2024,BOS vs TOR,202410260BOS,Boston Bruins,BOS,4,Toronto Maple Leafs,TOR,3
2024-25,10/26/2024,BUF vs DET,202410260BUF,Buffalo Sabres,BUF,5,Detroit Red Wings,DET,3
2024-25,10/26/2024,MTL vs STL,202410260MTL,Montreal Canadiens,MTL,5,St. Louis Blues,STL,2
2024-25,10/26/2024,TBL vs WSH,202410260TBL,Tampa Bay Lightning,TBL,3,Washington Capitals,WSH,0
2024-25,10/26/2024,DAL vs CHI,202410260DAL,Dallas Stars,DAL,4,Chicago Blackhawks,CHI,2
2024-25,10/26/2024,LAK vs ARI,202410260LAK,Los Angeles Kings,LAK,3,Arizona Coyotes,ARI,2
2024-25,10/26/2024,NSH vs CBJ,202410260NSH,Nashville Predators,NSH,4,Columbus Blue Jackets,CBJ,3
2024-25,10/26/2024,NYR vs ANA,202410260NYR,New York Rangers,NYR,2,Anaheim Ducks,ANA,1
2024-25,10/26/2024,PHI vs MIN,202410260PHI,Philadelphia Flyers,PHI,7,Minnesota Wild,MIN,5
2024-25,10/26/2024,VAN vs PIT,202410260VAN,Vancouver Canucks,VAN,4,Pittsburgh Penguins,PIT,3
2024-25,10/26/2024,VEG vs SJS,202410260VEG,Vegas Golden Knights,VEG,7,San Jose Sharks,SJS,3
2024-25,10/25/2024,CHI vs NSH,202410250CHI,Chicago Blackhawks,CHI,2,Nashville Predators,NSH,3
2024-25,10/25/2024,NJD vs NYI,202410250NJD,New Jersey Devils,NJD,3,New York Islanders,NYI,4
2024-25,10/25/2024,EDM vs PIT,202410250EDM,Edmonton Oilers,EDM,4,Pittsburgh Penguins,PIT,0
2024-25,10/25/2024,VEG vs OTT,202410250VEG,Vegas Golden Knights,VEG,6,Ottawa Senators,OTT,4
2024-25,10/24/2024,BOS vs DAL,202410240BOS,Boston Bruins,BOS,2,Dallas Stars,DAL,5
2024-25,10/24/2024,SEA vs WPG,202410240SEA,Seattle Kraken,SEA,3,Winnipeg Jets,WPG,4
2024-25,10/24/2024,ARI vs COL,202410240UTA,Arizona Coyotes,ARI,1,Colorado Avalanche,COL,5
2024-25,10/24/2024,CGY vs CAR,202410240CGY,Calgary Flames,CGY,2,Carolina Hurricanes,CAR,4
2024-25,10/24/2024,NYR vs FLA,202410240NYR,New York Rangers,NYR,1,Florida Panthers,FLA,3
2024-25,10/24/2024,TBL vs MIN,202410240TBL,Tampa Bay Lightning,TBL,2,Minnesota Wild,MIN,4
2024-25,10/24/2024,TOR vs STL,202410240TOR,Toronto Maple Leafs,TOR,1,St. Louis Blues,STL,5
2024-25,10/24/2024,DET vs NJD,202410240DET,Detroit Red Wings,DET,5,New Jersey Devils,NJD,3
2024-25,10/24/2024,LAK vs SJS,202410240LAK,Los Angeles Kings,LAK,3,San Jose Sharks,SJS,2
2024-25,10/23/2024,WSH vs PHI,202410230WSH,Washington Capitals,WSH,6,Philadelphia Flyers,PHI,3
2024-25,10/22/2024,CHI vs VAN,202410220CHI,Chicago Blackhawks,CHI,3,Vancouver Canucks,VAN,6
2024-25,10/22/2024,FLA vs MIN,202410220FLA,Florida Panthers,FLA,1,Minnesota Wild,MIN,5
2024-25,10/22/2024,MTL vs NYR,202410220MTL,Montreal Canadiens,MTL,2,New York Rangers,NYR,7
2024-25,10/22/2024,NJD vs TBL,202410220NJD,New Jersey Devils,NJD,5,Tampa Bay Lightning,TBL,8
2024-25,10/22/2024,PHI vs WSH,202410220PHI,Philadelphia Flyers,PHI,1,Washington Capitals,WSH,4
2024-25,10/22/2024,STL vs WPG,202410220STL,St. Louis Blues,STL,2,Winnipeg Jets,WPG,3
2024-25,10/22/2024,ARI vs OTT,202410220UTA,Arizona Coyotes,ARI,0,Ottawa Senators,OTT,4
2024-25,10/22/2024,EDM vs CAR,202410220EDM,Edmonton Oilers,EDM,2,Carolina Hurricanes,CAR,3
2024-25,10/22/2024,NYI vs DET,202410220NYI,New York Islanders,NYI,0,Detroit Red Wings,DET,1
2024-25,10/22/2024,SEA vs COL,202410220SEA,Seattle Kraken,SEA,2,Colorado Avalanche,COL,3
2024-25,10/22/2024,ANA vs SJS,202410220ANA,Anaheim Ducks,ANA,3,San Jose Sharks,SJS,1
2024-25,10/22/2024,BUF vs DAL,202410220BUF,Buffalo Sabres,BUF,4,Dallas Stars,DAL,2
2024-25,10/22/2024,CBJ vs TOR,202410220CBJ,Columbus Blue Jackets,CBJ,6,Toronto Maple Leafs,TOR,2
2024-25,10/22/2024,NSH vs BOS,202410220NSH,Nashville Predators,NSH,4,Boston Bruins,BOS,0
2024-25,10/22/2024,VEG vs LAK,202410220VEG,Vegas Golden Knights,VEG,6,Los Angeles Kings,LAK,1
2024-25,10/22/2024,CGY vs PIT,202410220CGY,Calgary Flames,CGY,3,Pittsburgh Penguins,PIT,3
2024-25,10/21/2024,TOR vs TBL,202410210TOR,Toronto Maple Leafs,TOR,5,Tampa Bay Lightning,TBL,2
2024-25,10/20/2024,ANA vs LAK,202410200ANA,Anaheim Ducks,ANA,1,Los Angeles Kings,LAK,4
2024-25,10/20/2024,SJS vs COL,202410200SJS,San Jose Sharks,SJS,1,Colorado Avalanche,COL,4
2024-25,10/20/2024,WPG vs PIT,202410200WPG,Winnipeg Jets,WPG,6,Pittsburgh Penguins,PIT,3
2024-25,10/19/2024,CBJ vs MIN,202410190CBJ,Columbus Blue Jackets,CBJ,1,Minnesota Wild,MIN,3
2024-25,10/19/2024,NJD vs WSH,202410190NJD,New Jersey Devils,NJD,5,Washington Capitals,WSH,6
2024-25,10/19/2024,PHI vs VAN,202410190PHI,Philadelphia Flyers,PHI,0,Vancouver Canucks,VAN,3
2024-25,10/19/2024,CHI vs BUF,202410190CHI,Chicago Blackhawks,CHI,2,Buffalo Sabres,BUF,4
2024-25,10/19/2024,NSH vs DET,202410190NSH,Nashville Predators,NSH,2,Detroit Red Wings,DET,5
2024-25,10/19/2024,TOR vs NYR,202410190TOR,Toronto Maple Leafs,TOR,1,New York Rangers,NYR,4
2024-25,10/19/2024,DAL vs EDM,202410190DAL,Dallas Stars,DAL,4,Edmonton Oilers,EDM,1
2024-25,10/19/2024,FLA vs VEG,202410190FLA,Florida Panthers,FLA,4,Vegas Golden Knights,VEG,3
2024-25,10/19/2024,OTT vs TBL,202410190OTT,Ottawa Senators,OTT,5,Tampa Bay Lightning,TBL,4
2024-25,10/19/2024,ARI vs BOS,202410190UTA,Arizona Coyotes,ARI,2,Boston Bruins,BOS,1
2024-25,10/19/2024,SEA vs CGY,202410190SEA,Seattle Kraken,SEA,2,Calgary Flames,CGY,1
2024-25,10/19/2024,STL vs CAR,202410190STL,St. Louis Blues,STL,4,Carolina Hurricanes,CAR,3
2024-25,10/19/2024,NYI vs MTL,202410190NYI,New York Islanders,NYI,3,Montreal Canadiens,MTL,3
2024-25,10/18/2024,PIT vs CAR,202410180PIT,Pittsburgh Penguins,PIT,1,Carolina Hurricanes,CAR,4
2024-25,10/18/2024,COL vs ANA,202410180COL,Colorado Avalanche,COL,4,Anaheim Ducks,ANA,3
2024-25,10/18/2024,WPG vs SJS,202410180WPG,Winnipeg Jets,WPG,8,San Jose Sharks,SJS,3
2024-25,10/17/2024,DET vs NYR,202410170DET,Detroit Red Wings,DET,2,New York Rangers,NYR,5
2024-25,10/17/2024,FLA vs VAN,202410170FLA,Florida Panthers,FLA,2,Vancouver Canucks,VAN,3
2024-25,10/17/2024,MTL vs LAK,202410170MTL,Montreal Canadiens,MTL,1,Los Angeles Kings,LAK,4
2024-25,10/17/2024,NSH vs EDM,202410170NSH,Nashville Predators,NSH,2,Edmonton Oilers,EDM,4
2024-25,10/17/2024,OTT vs NJD,202410170OTT,Ottawa Senators,OTT,1,New Jersey Devils,NJD,3
2024-25,10/17/2024,CHI vs SJS,202410170CHI,Chicago Blackhawks,CHI,4,San Jose Sharks,SJS,2
2024-25,10/17/2024,TBL vs VEG,202410170TBL,Tampa Bay Lightning,TBL,4,Vegas Golden Knights,VEG,3
2024-25,10/17/2024,CBJ vs BUF,202410170CBJ,Columbus Blue Jackets,CBJ,6,Buffalo Sabres,BUF,4
2024-25,10/17/2024,SEA vs PHI,202410170SEA,Seattle Kraken,SEA,6,Philadelphia Flyers,PHI,4
2024-25,10/17/2024,STL vs NYI,202410170STL,St. Louis Blues,STL,1,New York Islanders,NYI,0
2024-25,10/17/2024,WSH vs DAL,202410170WSH,Washington Capitals,WSH,3,Dallas Stars,DAL,2
2024-25,10/16/2024,COL vs BOS,202410160COL,Colorado Avalanche,COL,3,Boston Bruins,BOS,5
2024-25,10/16/2024,ANA vs ARI,202410160ANA,Anaheim Ducks,ANA,5,Arizona Coyotes,ARI,4
2024-25,10/16/2024,PIT vs BUF,202410160PIT,Pittsburgh Penguins,PIT,6,Buffalo Sabres,BUF,5
2024-25,10/16/2024,TOR vs LAK,202410160TOR,Toronto Maple Leafs,TOR,6,Los Angeles Kings,LAK,2
2024-25,10/15/2024,CBJ vs FLA,202410150CBJ,Columbus Blue Jackets,CBJ,3,Florida Panthers,FLA,4
2024-25,10/15/2024,NSH vs SEA,202410150NSH,Nashville Predators,NSH,3,Seattle Kraken,SEA,7
2024-25,10/15/2024,STL vs MIN,202410150STL,St. Louis Blues,STL,1,Minnesota Wild,MIN,3
2024-25,10/15/2024,CAR vs NJD,202410150CAR,Carolina Hurricanes,CAR,4,New Jersey Devils,NJD,2
2024-25,10/15/2024,CGY vs CHI,202410150CGY,Calgary Flames,CGY,3,Chicago Blackhawks,CHI,1
2024-25,10/15/2024,EDM vs PHI,202410150EDM,Edmonton Oilers,EDM,4,Philadelphia Flyers,PHI,3
2024-25,10/15/2024,TBL vs VAN,202410150TBL,Tampa Bay Lightning,TBL,4,Vancouver Canucks,VAN,1
2024-25,10/15/2024,WSH vs VEG,202410150WSH,Washington Capitals,WSH,4,Vegas Golden Knights,VEG,2
2024-25,10/15/2024,DAL vs SJS,202410150DAL,Dallas Stars,DAL,2,San Jose Sharks,SJS,2
2024-25,10/14/2024,BOS vs FLA,202410140BOS,Boston Bruins,BOS,3,Florida Panthers,FLA,4
2024-25,10/14/2024,COL vs NYI,202410140COL,Colorado Avalanche,COL,2,New York Islanders,NYI,6
2024-25,10/14/2024,MTL vs PIT,202410140MTL,Montreal Canadiens,MTL,3,Pittsburgh Penguins,PIT,6
2024-25,10/14/2024,NJD vs ARI,202410140NJD,New Jersey Devils,NJD,3,Arizona Coyotes,ARI,0
2024-25,10/14/2024,NYR vs DET,202410140NYR,New York Rangers,NYR,4,Detroit Red Wings,DET,1
2024-25,10/14/2024,OTT vs LAK,202410140OTT,Ottawa Senators,OTT,8,Los Angeles Kings,LAK,7
2024-25,10/13/2024,EDM vs CGY,202410130EDM,Edmonton Oilers,EDM,1,Calgary Flames,CGY,4
2024-25,10/13/2024,DAL vs SEA,202410130DAL,Dallas Stars,DAL,2,Seattle Kraken,SEA,0
2024-25,10/13/2024,VEG vs ANA,202410130VEG,Vegas Golden Knights,VEG,3,Anaheim Ducks,ANA,1
2024-25,10/13/2024,WPG vs MIN,202410130WPG,Winnipeg Jets,WPG,2,Minnesota Wild,MIN,1
2024-25,10/12/2024,COL vs CBJ,202410120COL,Colorado Avalanche,COL,4,Columbus Blue Jackets,CBJ,6
2024-25,10/12/2024,EDM vs CHI,202410120EDM,Edmonton Oilers,EDM,2,Chicago Blackhawks,CHI,5
2024-25,10/12/2024,NYR vs ARI,202410120NYR,New York Rangers,NYR,5,Arizona Coyotes,ARI,6
2024-25,10/12/2024,SJS vs ANA,202410120SJS,San Jose Sharks,SJS,0,Anaheim Ducks,ANA,2
2024-25,10/12/2024,WSH vs NJD,202410120WSH,Washington Capitals,WSH,3,New Jersey Devils,NJD,5
2024-25,10/12/2024,BOS vs LAK,202410120BOS,Boston Bruins,BOS,2,Los Angeles Kings,LAK,1
2024-25,10/12/2024,BUF vs FLA,202410120BUF,Buffalo Sabres,BUF,5,Florida Panthers,FLA,2
2024-25,10/12/2024,CGY vs PHI,202410120CGY,Calgary Flames,CGY,6,Philadelphia Flyers,PHI,3
2024-25,10/12/2024,DAL vs NYI,202410120DAL,Dallas Stars,DAL,3,New York Islanders,NYI,0
2024-25,10/12/2024,DET vs NSH,202410120DET,Detroit Red Wings,DET,3,Nashville Predators,NSH,0
2024-25,10/12/2024,MTL vs OTT,202410120MTL,Montreal Canadiens,MTL,4,Ottawa Senators,OTT,1
2024-25,10/12/2024,TOR vs PIT,202410120TOR,Toronto Maple Leafs,TOR,4,Pittsburgh Penguins,PIT,2
2024-25,10/12/2024,MIN vs SEA,202410120MIN,Minnesota Wild,MIN,4,Seattle Kraken,SEA,4
2024-25,10/11/2024,CAR vs TBL,202410110CAR,Carolina Hurricanes,CAR,1,Tampa Bay Lightning,TBL,4
2024-25,10/11/2024,VEG vs STL,202410110VEG,Vegas Golden Knights,VEG,4,St. Louis Blues,STL,3
2024-25,10/11/2024,WPG vs CHI,202410110WPG,Winnipeg Jets,WPG,2,Chicago Blackhawks,CHI,1
2024-25,10/11/2024,VAN vs PHI,202410110VAN,Vancouver Canucks,VAN,2,Philadelphia Flyers,PHI,2
